,nutz.csv,jajuk.csv,ossim.csv,massiv.csv,v8.csv,ngl.csv,qmmp.csv,mesa3d.csv,rcp-company-uibindings.csv
jajuk.csv,0.61,0.02,0.67,0.63,0.61,0.54,0.49,0.61,0.54
massiv.csv,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
mesa3d.csv,0.95,0.92,0.77,0.9,0.65,0.74,0.94,0.16,0.78
ngl.csv,0.61,0.69,0.58,0.45,0.89,0.02,0.6,0.65,0.56
nutz.csv,0.07,0.57,0.88,0.71,0.56,0.72,0.46,0.89,0.49
ossim.csv,1.0,1.0,0.0,1.0,1.0,0.99,0.95,0.97,1.0
qmmp.csv,0.58,0.5,0.59,0.61,0.92,0.57,0.05,0.82,0.55
rcp-company-uibindings.csv,0.61,0.78,0.89,0.84,0.86,0.85,0.63,0.78,0.0
v8.csv,0.75,0.96,0.9,0.94,0.08,0.96,0.99,0.99,0.79
