,f1,g,recall,precision,pf,wins
auber.csv,0.62,0.63,0.74,0.6,0.5,10
delphilhlplib.csv,0.6,0.58,0.62,0.82,0.29,16
exordium.csv,0.58,0.61,0.75,0.62,0.55,8
fltk.csv,0.6,0.58,0.57,0.69,0.33,12
genoviz.csv,0.15,0.1,0.08,0.88,0.0,1
gzigzag.csv,0.4,0.32,0.28,0.71,0.16,3
irrlicht.csv,0.71,0.0,1.0,0.55,1.0,2
moast.csv,0.39,0.36,0.37,0.43,0.42,0
mptvseries.csv,0.45,0.41,0.36,0.72,0.11,5
openfrag.csv,0.68,0.6,0.73,0.68,0.44,15
qse.csv,0.62,0.6,0.71,0.65,0.47,11
sauerbraten.csv,0.66,0.37,0.92,0.55,0.87,4
toped.csv,0.7,0.53,0.91,0.58,0.81,7
truevision.csv,0.65,0.6,0.71,0.67,0.51,13
uwom.csv,0.52,0.57,0.53,0.69,0.27,9
zoolib.csv,0.53,0.57,0.55,0.76,0.26,14
zxing.csv,0.52,0.54,0.52,0.64,0.35,6
