,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.25,0.56,0.48,0.22,0.83,0.48,0.55,0.35,0.71,0.5,0.56
emono.csv,0.36,0.58,0.41,0.43,0.5,0.7,0.32,0.33,0.67,0.43,0.64
haggle.csv,0.16,0.54,0.46,0.7,0.8,0.36,0.59,0.47,0.61,0.6,0.33
hannosset.csv,0.16,0.11,0.06,0.0,0.54,0.82,0.3,0.0,0.06,0.17,0.18
jas.csv,0.52,0.47,0.35,0.77,0.68,0.2,0.66,0.96,0.41,0.33,0.47
jgossipforum.csv,0.64,0.46,0.41,0.99,0.73,0.0,0.58,0.0,0.56,0.5,0.39
madman.csv,0.11,0.46,0.27,0.43,0.93,0.37,0.55,0.0,0.29,0.35,0.3
mediate.csv,0.43,0.45,0.61,0.73,0.43,0.2,0.36,0.61,0.63,0.56,0.39
ngl.csv,0.38,0.27,0.56,0.58,0.65,0.54,0.62,0.66,0.73,0.49,0.37
pustefix.csv,0.63,0.45,0.24,0.58,0.76,0.0,0.46,0.24,0.54,0.47,0.49
synecdoche.csv,0.54,0.28,0.58,0.59,0.24,0.65,0.49,0.14,0.56,0.7,0.0
