,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.07,0.15,0.55,0.61,0.41,0.13,0.28,0.43,0.54,0.21,0.47,0.43,0.98,0.18,0.3,0.67,0.57
blogentis.csv,0.0,0.14,0.67,0.37,0.72,0.13,0.98,0.39,0.45,0.22,0.32,0.34,0.55,0.32,0.64,0.62,0.52
bochs.csv,0.02,0.18,0.81,0.59,0.54,0.12,0.36,0.44,0.94,0.33,0.45,0.43,0.49,0.52,0.21,0.61,0.57
galaxium.csv,0.06,0.14,0.17,0.57,0.15,0.13,0.25,0.34,0.24,0.17,0.0,0.35,0.72,0.97,0.57,0.17,0.42
gisgraphy.csv,0.03,0.2,0.76,0.52,0.63,0.13,0.34,0.44,0.5,0.15,0.27,0.37,0.49,0.35,0.19,0.61,1.0
haphazard.csv,0.0,0.24,0.3,0.2,0.36,0.0,0.06,0.16,0.52,0.92,0.35,0.22,0.14,0.11,0.37,0.47,0.44
ipfire-wall.csv,0.04,0.11,0.4,0.25,0.25,0.1,0.36,0.24,0.51,0.29,0.94,0.47,0.46,0.33,0.48,0.24,0.31
jmri.csv,0.03,0.18,0.43,0.97,0.44,0.14,0.26,0.37,0.33,0.35,0.5,0.32,0.32,0.33,0.43,0.69,0.29
jvcl.csv,0.0,0.97,0.0,0.13,0.04,0.0,0.12,0.08,0.02,0.12,0.0,0.0,0.09,0.06,0.02,0.05,0.0
kaffeine.csv,0.02,0.18,0.93,0.55,0.99,0.19,0.42,0.52,0.63,0.22,0.38,0.45,0.57,0.49,0.41,0.78,0.42
m-a-d-n-e-s-s.csv,0.0,0.25,0.27,0.24,0.31,0.21,0.33,0.33,0.43,0.15,0.43,0.96,0.39,0.15,0.36,0.35,0.23
magicwars.csv,0.02,0.2,0.93,0.65,0.9,0.13,0.38,0.91,0.59,0.33,0.49,0.43,0.61,0.45,0.64,0.85,0.48
nh3d.csv,1.0,0.18,0.39,0.33,0.25,0.21,0.38,0.35,0.37,0.12,0.5,0.39,0.51,0.14,0.3,0.49,0.07
opentibia.csv,0.02,0.14,0.99,0.4,0.82,0.19,0.45,0.53,0.59,0.36,0.53,0.47,0.56,0.46,0.61,0.83,0.33
sarasvati.csv,0.0,0.1,0.22,0.1,0.15,1.0,0.0,0.25,0.16,0.2,0.18,0.06,0.17,0.11,0.31,0.17,0.08
smartgwt.csv,0.03,0.19,0.26,0.6,0.42,0.19,0.35,0.34,0.31,0.36,0.37,0.31,0.44,0.38,0.97,0.13,0.48
tweetsharp.csv,0.06,0.17,0.72,0.6,0.59,0.15,0.32,0.47,0.56,0.27,0.45,0.52,0.55,0.57,0.34,0.96,0.47
