,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.75,0.38,0.41,0.71,0.29,0.64,0.5,0.78,0.75,0.31,0.5,0.48,0.95,0.17,0.63,0.55,0.73
blogentis.csv,0.0,0.5,0.55,0.42,0.69,0.82,0.96,0.59,0.6,0.46,0.39,0.64,0.76,0.51,0.66,0.55,0.73
bochs.csv,0.25,0.81,0.75,0.73,0.37,0.82,0.58,0.75,0.93,0.62,0.78,0.36,0.57,0.63,0.36,0.5,0.59
galaxium.csv,0.25,0.56,0.1,0.66,0.08,0.73,0.38,0.28,0.15,0.31,0.0,0.24,0.81,0.94,0.44,0.1,0.36
gisgraphy.csv,0.25,0.5,0.65,0.56,0.49,0.91,0.62,0.88,0.49,0.15,0.39,0.44,0.67,0.37,0.15,0.52,1.0
haphazard.csv,0.0,0.56,0.18,0.14,0.24,0.0,0.04,0.09,0.65,0.92,0.39,0.2,0.1,0.09,0.26,0.33,0.32
ipfire-wall.csv,0.75,0.19,0.27,0.18,0.14,0.09,0.54,0.15,0.49,0.54,0.89,0.44,0.43,0.26,0.59,0.14,0.41
jmri.csv,0.25,0.88,0.28,0.97,0.29,0.45,0.42,0.68,0.33,0.54,0.78,0.28,0.29,0.49,0.56,0.64,0.32
jvcl.csv,0.0,0.94,0.0,0.07,0.02,0.0,0.08,0.04,0.01,0.08,0.0,0.0,0.05,0.03,0.01,0.02,0.0
kaffeine.csv,1.0,0.94,0.98,0.73,1.0,0.45,0.67,0.8,1.0,0.38,0.56,0.92,0.76,0.74,0.89,0.83,0.77
m-a-d-n-e-s-s.csv,0.0,0.56,0.16,0.15,0.18,0.18,0.33,0.21,0.36,0.15,0.33,0.92,0.29,0.11,0.4,0.21,0.18
magicwars.csv,1.0,1.0,1.0,0.96,1.0,0.91,0.83,0.85,1.0,0.92,1.0,0.92,1.0,1.0,0.9,1.0,0.91
nh3d.csv,1.0,0.25,0.25,0.22,0.14,0.36,0.38,0.25,0.24,0.08,0.44,0.28,0.43,0.09,0.23,0.33,0.05
opentibia.csv,1.0,0.62,0.98,0.4,0.84,0.82,0.67,0.43,0.97,0.77,0.94,1.0,0.81,0.89,0.89,0.95,0.45
sarasvati.csv,0.0,0.25,0.13,0.06,0.08,1.0,0.0,0.15,0.09,0.15,0.11,0.04,0.1,0.06,0.19,0.1,0.05
smartgwt.csv,0.5,0.88,0.16,0.73,0.31,0.27,0.29,0.21,0.22,0.46,0.28,0.32,0.57,0.43,0.93,0.07,0.82
tweetsharp.csv,1.0,0.62,0.58,0.8,0.45,0.82,0.5,0.92,0.61,0.46,0.78,0.76,0.43,0.63,0.66,0.95,0.77
