,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.76,0.41,0.41,0.63,0.31,0.58,0.44,0.37,0.54,0.34,0.53,0.51,0.96,0.2,0.45,0.58,0.7
blogentis.csv,0.0,0.46,0.44,0.38,0.0,0.57,0.97,0.51,0.45,0.43,0.41,0.36,0.58,0.45,0.69,0.51,0.68
bochs.csv,0.29,0.52,0.54,0.59,0.42,0.42,0.54,0.52,0.94,0.59,0.48,0.41,0.55,0.64,0.36,0.52,0.62
galaxium.csv,0.29,0.45,0.12,0.6,0.1,0.61,0.39,0.32,0.18,0.33,0.0,0.28,0.79,0.95,0.49,0.12,0.41
gisgraphy.csv,0.29,0.52,0.63,0.53,0.52,0.52,0.51,0.09,0.52,0.18,0.36,0.47,0.52,0.41,0.18,0.51,1.0
haphazard.csv,0.0,0.58,0.21,0.17,0.27,0.0,0.05,0.11,0.57,0.93,0.42,0.23,0.12,0.11,0.3,0.37,0.37
ipfire-wall.csv,0.7,0.22,0.31,0.21,0.17,0.11,0.53,0.18,0.52,0.52,0.91,0.48,0.47,0.3,0.61,0.17,0.42
jmri.csv,0.29,0.45,0.33,0.97,0.34,0.48,0.41,0.22,0.36,0.55,0.63,0.32,0.33,0.48,0.58,0.57,0.35
jvcl.csv,0.0,0.95,0.0,0.09,0.02,0.0,0.1,0.05,0.01,0.1,0.0,0.0,0.06,0.04,0.01,0.02,0.0
kaffeine.csv,0.0,0.24,0.3,0.47,0.98,0.49,0.61,0.67,0.43,0.39,0.49,0.35,0.63,0.67,0.58,0.4,0.42
m-a-d-n-e-s-s.csv,0.0,0.58,0.19,0.18,0.21,0.21,0.37,0.25,0.4,0.18,0.38,0.93,0.33,0.13,0.44,0.25,0.21
magicwars.csv,0.0,0.3,0.0,0.38,0.0,0.45,0.4,0.88,0.0,0.35,0.0,0.13,0.36,0.13,0.85,0.0,0.45
nh3d.csv,1.0,0.29,0.29,0.26,0.17,0.41,0.42,0.29,0.28,0.1,0.49,0.33,0.48,0.11,0.27,0.38,0.06
opentibia.csv,0.13,0.38,0.98,0.41,0.32,0.74,0.64,0.48,0.24,0.64,0.57,0.27,0.54,0.55,0.84,0.27,0.44
sarasvati.csv,0.0,0.28,0.15,0.07,0.1,1.0,0.0,0.18,0.11,0.18,0.13,0.05,0.12,0.07,0.23,0.12,0.06
smartgwt.csv,0.52,0.51,0.19,0.61,0.32,0.31,0.33,0.25,0.26,0.5,0.32,0.36,0.48,0.46,0.94,0.09,0.58
tweetsharp.csv,0.9,0.55,0.61,0.55,0.48,0.65,0.48,0.21,0.61,0.47,0.48,0.7,0.48,0.65,0.55,0.95,0.58
