,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.66,0.76,0.71,0.84,0.35,0.7,0.76,0.66,0.05,0.33,0.07,0.4,0.68,0.34,0.4,0.99,0.43,0.14
fbmanager.csv,0.0,0.0,0.74,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.2,0.0,0.17
fido.csv,0.0,0.17,0.0,0.46,0.0,0.03,0.0,0.0,0.0,0.02,0.38,0.0,0.0,0.09,0.0,0.34,0.25,0.0
fityk.csv,0.57,0.73,0.67,0.78,0.28,0.5,0.55,0.65,0.05,0.15,0.0,0.35,0.74,0.28,0.35,0.36,0.46,0.17
fleet-simulator.csv,0.65,0.71,0.65,0.84,0.32,0.82,0.76,0.7,0.07,0.48,0.08,0.38,0.79,0.29,0.44,0.98,0.45,0.16
google-caja.csv,0.68,0.67,0.66,0.84,0.24,0.67,0.78,0.72,0.09,0.46,0.08,0.43,0.75,0.29,0.5,0.8,0.48,0.19
hibernate.csv,0.58,0.55,0.6,0.67,0.24,0.61,0.67,0.44,0.1,0.39,0.18,0.48,0.66,0.3,0.46,0.54,0.47,0.16
itext.csv,0.64,0.72,0.72,0.85,0.24,0.65,0.7,0.77,0.1,0.47,0.11,0.43,0.72,0.24,0.58,0.76,0.49,0.17
k3b.csv,0.63,0.6,0.69,0.71,0.19,0.73,0.8,0.74,0.1,0.38,0.05,0.38,0.72,0.2,0.32,0.61,0.43,0.14
megameknet.csv,0.6,0.74,0.72,0.82,0.22,0.74,0.69,0.67,0.05,0.37,0.0,0.49,0.74,0.27,0.34,0.78,0.4,0.16
myfaces.csv,0.59,0.5,0.6,0.55,0.52,0.58,0.48,0.44,0.11,0.55,0.15,0.56,0.58,0.33,0.47,0.81,0.48,0.19
ninject.csv,0.48,0.56,0.43,0.53,0.15,0.33,0.52,0.61,0.07,0.53,0.12,0.32,0.51,0.13,0.19,0.3,0.25,0.59
ondex.csv,0.44,0.38,0.33,0.25,0.28,0.49,0.35,0.24,0.04,0.16,0.05,0.46,0.55,0.36,0.44,0.41,0.36,0.21
paintown.csv,0.74,0.7,0.71,0.81,0.24,0.66,0.79,0.56,0.08,0.36,0.08,0.37,0.74,0.29,0.3,0.84,0.42,0.15
poormans.csv,0.15,0.56,0.05,0.46,0.38,0.37,0.28,0.64,0.2,0.39,0.0,0.45,0.22,0.22,0.61,0.07,0.33,0.29
powerfolder.csv,0.56,0.3,0.61,0.27,0.3,0.64,0.44,0.24,0.45,0.38,0.1,0.33,0.52,0.27,0.37,0.53,0.43,0.07
smartgwt.csv,0.62,0.63,0.7,0.83,0.32,0.67,0.64,0.24,0.31,0.58,0.09,0.32,0.65,0.27,0.41,0.09,0.42,0.17
triplea.csv,0.61,0.73,0.65,0.82,0.24,0.77,0.78,0.71,0.09,0.48,0.08,0.38,0.76,0.32,0.37,0.98,0.41,0.1
