,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.6,0.09,0.54,0.68,0.26,0.49,0.35,0.2,0.36,0.44,0.97,0.11,0.66,0.69,0.44,0.53,0.3
bionote.csv,0.06,0.0,0.07,0.05,0.0,0.06,0.0,0.0,0.07,0.09,0.0,0.0,1.0,0.23,0.17,0.06,0.0
bullet.csv,0.68,0.42,0.63,0.7,0.52,0.62,1.0,0.6,0.61,0.48,0.62,0.66,0.58,0.57,0.44,0.69,0.53
dxengine.csv,0.39,0.25,0.35,0.34,1.0,0.26,0.36,0.07,0.44,0.22,0.19,0.0,0.53,0.36,0.36,0.39,0.29
emono.csv,0.29,0.17,0.59,0.55,0.29,0.46,0.44,0.51,0.46,0.49,0.69,0.31,0.4,0.22,0.45,0.39,0.97
findbugs.csv,0.27,0.4,0.32,0.2,0.57,0.3,0.29,0.62,0.07,0.31,0.37,0.39,0.43,0.47,0.94,0.0,0.3
hazelcast.csv,0.56,0.46,0.58,0.13,0.17,1.0,0.35,0.27,0.48,0.0,0.63,0.0,0.36,0.42,0.17,0.87,0.0
jedit.csv,0.93,0.25,0.7,0.57,0.26,0.49,0.42,0.6,0.63,0.35,0.33,0.21,0.7,0.68,0.35,0.43,0.51
jmonkeyengine.csv,0.4,0.25,0.15,0.3,0.05,0.16,0.09,0.0,1.0,0.11,0.23,0.0,0.0,0.39,0.34,0.31,0.02
kolmafia.csv,0.46,0.33,0.65,0.54,0.54,0.57,0.46,0.0,0.56,0.3,0.53,0.11,0.61,1.0,0.51,0.43,0.31
lamp.csv,0.18,0.88,0.19,0.3,0.13,0.29,0.33,0.32,0.0,0.23,0.1,0.21,0.65,0.33,0.34,0.23,0.18
lcfizvtop.csv,0.21,0.47,0.42,0.2,0.26,0.28,0.19,0.26,0.13,0.34,0.23,0.93,0.65,0.36,0.41,0.34,0.1
onotoa.csv,0.63,0.67,0.6,0.57,0.52,0.45,0.53,0.67,0.51,1.0,0.51,0.3,0.38,0.37,0.62,0.31,0.51
openintents.csv,0.48,0.39,0.42,0.89,0.22,0.34,0.18,0.46,0.47,0.34,0.75,0.11,0.29,0.4,0.33,0.53,0.28
qlc.csv,0.32,0.09,0.19,0.2,0.18,0.05,0.09,0.86,0.07,0.04,0.1,0.0,0.15,0.0,0.09,0.0,0.01
triplea.csv,0.68,0.69,0.97,0.44,0.64,0.87,0.64,0.6,0.5,0.54,0.65,0.7,0.54,0.55,0.5,0.72,0.58
