,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.71,0.69,0.24,0.85,0.91,0.88,0.86,0.83,0.43,0.65,0.63,0.5,1.01,0.86,0.82
glelite.csv,0.98,0.7,0.93,1.0,1.0,0.94,0.97,0.97,0.96,0.68,0.93,0.95,0.04,0.92,0.82
hannosset.csv,0.92,1.0,0.89,0.14,0.88,0.79,1.0,1.02,0.88,1.01,0.29,1.0,1.21,0.81,1.0
ipfilter.csv,0.96,0.71,0.94,0.92,0.96,0.83,0.67,0.86,0.79,0.62,0.59,0.06,1.01,0.76,0.79
moving-pictures.csv,0.74,0.55,1.0,0.22,0.6,0.54,0.48,1.11,0.74,0.59,0.62,0.56,0.71,0.71,0.34
pclasses.csv,0.25,0.71,1.0,1.02,0.69,0.99,0.78,1.09,0.51,1.0,0.91,0.99,1.17,0.83,0.78
pfaedit.csv,1.01,0.56,1.0,0.45,0.52,0.28,0.75,1.01,0.77,0.77,0.86,0.93,0.67,0.7,0.68
qcad2.csv,0.92,0.69,0.51,0.67,0.35,0.75,0.86,1.04,0.76,0.63,0.73,0.55,0.35,0.77,0.72
rockbox.csv,0.54,0.66,1.0,0.4,0.59,0.52,0.73,1.04,0.87,1.05,0.7,0.71,0.79,0.79,0.33
roller.csv,0.85,0.88,1.0,0.96,0.9,0.8,0.9,0.97,0.37,0.9,0.99,0.95,1.0,0.81,0.8
theresa.csv,0.87,0.5,0.74,0.24,0.74,0.43,0.64,1.03,0.65,0.87,0.94,0.76,0.78,0.74,0.63
tzod.csv,0.91,0.51,0.43,0.35,0.57,0.47,0.97,1.01,0.66,0.68,0.88,0.7,0.71,0.68,0.75
xinity.csv,0.81,0.91,1.0,1.19,0.92,0.81,0.92,1.12,0.71,0.61,0.51,0.83,1.03,0.49,1.0
zabbix.csv,0.77,0.54,0.45,0.14,0.52,0.66,0.81,1.03,0.71,0.59,0.79,0.88,0.47,0.84,0.59
