,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.74,0.41,0.75,0.67,0.74,0.58,0.31,0.44,0.13,0.69,0.59
ivef-sdk.csv,0.7,0.51,1.0,0.65,0.47,0.31,0.17,0.58,0.18,0.0,0.3
jaolt.csv,0.7,0.52,0.32,0.63,0.74,0.41,0.16,0.54,0.12,0.58,0.24
jmule.csv,0.69,0.45,0.16,0.52,0.77,0.55,0.55,0.45,0.08,0.63,0.84
jstock.csv,0.56,0.49,0.18,0.61,0.51,0.53,0.69,0.59,0.14,0.73,0.07
lphant.csv,0.78,0.46,0.22,0.62,0.7,0.7,0.51,0.55,0.11,0.64,0.64
novembre.csv,0.31,0.62,0.06,0.35,0.4,0.35,0.24,0.31,0.03,0.0,0.41
oorexx.csv,0.51,0.17,0.05,0.15,0.5,0.3,0.46,0.57,0.12,0.71,0.61
pi-qmc.csv,0.72,0.47,0.14,0.52,0.73,0.62,0.33,0.72,0.1,0.56,0.67
qedo.csv,0.25,0.15,0.93,0.23,0.16,0.26,0.31,0.14,0.36,0.33,0.38
yaprm.csv,0.76,0.5,0.21,0.68,0.23,0.3,0.38,0.59,0.19,0.65,0.52
