,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.62,0.61,0.48,0.49,0.54,0.5,0.32,0.52,0.43,0.56,0.36,0.34,0.45,0.56,0.41,0.42
biodwh.csv,0.83,0.88,0.99,0.75,0.9,0.0,0.66,0.94,0.91,0.67,0.43,0.0,0.97,0.94,0.48,0.62
blue-c.csv,0.41,0.51,0.49,0.54,0.62,0.52,0.39,0.49,0.55,0.9,0.4,0.37,0.48,0.5,0.55,0.58
cities3d.csv,0.37,0.97,0.54,0.0,0.59,0.5,0.51,0.5,0.97,0.9,0.54,0.0,0.72,0.42,0.4,0.45
firebird.csv,0.41,0.41,0.4,0.48,0.47,0.54,0.37,0.53,0.48,0.59,0.36,0.38,0.39,0.57,0.33,0.36
jcache.csv,0.39,0.41,0.48,0.6,0.34,0.43,0.46,0.41,0.39,0.62,0.92,0.43,0.42,0.44,0.41,0.41
jparsec.csv,0.78,0.52,0.62,0.59,0.45,0.55,0.4,0.48,0.35,0.46,0.49,0.76,0.42,0.47,0.36,0.41
mscore.csv,0.4,0.42,0.43,0.43,0.62,0.35,0.35,0.42,0.42,0.58,0.37,0.35,0.37,0.43,0.33,0.42
nabu-library.csv,0.88,0.41,0.9,0.8,0.98,0.83,0.66,0.74,0.48,0.53,0.78,0.77,0.48,0.92,0.94,0.92
ns-3-dev-def-routing.csv,0.86,0.56,0.97,0.53,0.97,0.89,0.58,0.67,0.46,0.72,0.48,0.38,0.61,0.98,0.96,0.85
open-ms.csv,0.35,0.36,0.5,0.56,0.37,0.42,0.63,0.43,0.65,0.94,0.78,0.45,0.58,0.55,0.93,0.55
popeye-chess.csv,0.38,0.47,0.57,0.42,0.95,0.41,0.39,0.49,0.97,0.78,0.68,0.41,0.41,0.59,0.93,0.77
qgo.csv,0.42,0.36,0.4,0.53,0.33,0.39,0.33,0.39,0.32,0.37,0.41,0.4,0.37,0.39,0.29,0.34
webdriver.csv,0.36,0.41,0.49,0.5,0.45,0.43,0.48,0.45,0.59,0.75,0.52,0.38,0.47,0.63,0.61,0.53
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.62,0.0,0.0,0.0,0.62
yafdotnet.csv,0.35,0.36,0.43,0.38,0.35,0.34,0.46,0.38,0.46,0.56,0.61,0.41,0.36,0.39,0.32,0.42
