,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.32,0.69,0.37,0.05,0.08,0.56,0.94,0.6,0.62,0.8,0.63,0.09,0.35,0.13,0.91,0.41,0.2,0.37
bigdata.csv,0.21,0.67,0.55,0.0,0.0,0.5,0.92,0.59,0.48,0.8,0.8,0.2,0.37,0.12,0.92,0.37,0.39,0.33
chaperon.csv,0.39,0.54,0.24,0.03,0.44,0.23,0.89,0.57,1.0,0.6,0.0,0.25,0.34,0.08,0.85,0.35,0.26,0.28
e-bio-flow.csv,0.27,0.56,0.64,0.09,0.0,0.36,0.92,0.52,0.22,0.82,0.61,0.11,0.36,0.09,0.9,0.47,0.24,0.57
exist.csv,0.3,0.63,0.37,0.04,0.14,0.37,0.9,0.76,0.5,0.75,0.61,0.16,0.39,0.08,0.91,0.45,0.23,0.42
freedom-erp.csv,0.13,0.0,0.56,0.04,0.33,0.37,0.94,0.9,0.93,0.86,0.76,0.2,0.28,0.0,0.82,0.0,0.22,0.33
geotools.csv,0.36,0.69,0.37,0.03,0.0,0.33,1.0,0.66,0.58,0.76,0.68,0.27,0.44,0.09,0.91,0.59,0.23,0.44
jaxlib.csv,0.5,0.55,0.33,0.5,0.05,0.32,1.0,0.5,0.53,0.7,0.29,0.09,0.24,0.1,0.9,0.4,0.15,0.26
jppf-project.csv,0.39,0.58,0.46,0.03,0.05,0.27,0.97,0.54,0.5,0.69,0.63,0.12,0.28,0.05,0.87,0.42,0.13,0.27
matrex.csv,0.35,0.69,0.39,0.08,0.5,0.41,0.95,0.86,0.85,0.86,0.73,0.5,0.29,0.0,0.79,0.4,0.27,0.42
mediate.csv,0.88,0.69,0.38,0.07,0.13,0.32,0.83,0.6,0.48,0.81,0.6,0.14,0.2,0.12,0.91,0.48,0.25,0.32
nunit.csv,0.3,0.6,0.37,0.0,0.1,0.39,0.88,0.62,0.38,0.7,0.69,0.12,0.34,0.08,0.9,0.41,0.41,0.4
octet.csv,0.35,0.56,0.37,0.0,0.05,0.29,0.96,0.56,0.48,0.78,0.59,0.45,0.39,0.14,0.89,0.41,0.28,0.67
pokenetonline.csv,0.32,0.55,0.39,0.04,0.07,0.28,0.93,0.57,0.51,0.88,0.61,0.14,0.33,0.08,0.88,0.41,0.23,0.45
reaper3d.csv,0.29,1.0,0.46,0.09,0.2,0.25,0.76,0.6,0.38,0.75,0.67,0.11,0.2,0.17,0.89,0.36,0.19,0.4
simplewebservices.csv,0.38,0.55,0.38,0.04,0.09,0.24,0.91,0.58,0.4,0.75,0.58,0.15,0.31,0.07,0.88,0.58,0.24,0.34
stajistics.csv,0.27,0.62,0.41,0.02,0.14,0.25,0.92,0.56,0.55,0.75,0.58,0.31,0.4,0.09,0.88,0.44,0.22,0.52
swtfox.csv,0.64,0.56,0.33,0.0,0.09,0.22,0.91,0.55,0.47,0.63,0.78,0.08,0.22,0.06,0.88,0.37,0.22,0.19
