,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.67,0.31,0.57,0.74,1.0,0.49,0.0,0.79,0.6,0.02,0.48,0.62,0.37,0.82
crisscross.csv,0.96,1.0,0.67,0.88,1.0,0.72,1.0,0.89,0.8,1.0,0.37,1.0,0.95,1.0
gisgraphy.csv,0.19,0.08,0.0,0.18,0.33,0.02,0.0,0.27,0.25,0.13,0.04,0.42,0.07,0.77
glelite.csv,0.88,0.54,0.9,0.93,1.0,0.99,1.0,1.0,1.0,0.97,0.97,0.72,0.95,0.68
gnome-jabber.csv,0.32,0.08,0.19,0.44,1.0,0.53,1.0,0.39,0.48,0.65,0.39,0.32,0.25,0.68
ivataopenportal.csv,0.83,1.0,0.9,0.9,1.0,0.75,0.0,0.84,0.78,0.88,0.9,1.0,0.43,0.91
mb-unit.csv,0.99,0.0,0.86,0.69,1.0,1.0,1.0,0.9,0.88,0.93,0.97,0.75,0.55,0.73
mvdsv.csv,0.03,0.23,0.0,0.07,1.0,0.01,0.0,0.09,0.18,0.04,0.07,0.08,0.03,0.27
nova.csv,0.77,0.77,0.81,0.74,0.67,0.55,1.0,0.63,0.35,0.61,0.77,0.8,0.79,0.59
olex2.csv,0.79,0.54,0.52,0.64,0.67,0.95,0.0,0.42,0.65,0.28,0.94,0.72,0.18,0.18
openwbem.csv,0.59,0.54,0.52,0.54,0.67,0.7,1.0,0.5,0.52,0.46,0.45,0.73,0.57,0.64
tencompetence.csv,0.2,0.08,0.24,0.59,0.0,0.66,1.0,0.14,0.4,0.43,0.56,0.03,0.81,0.18
xcmetadataservicestoolkit.csv,0.52,0.62,0.52,0.54,1.0,0.81,1.0,0.61,0.8,0.95,0.98,0.63,0.8,0.36
