,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,1.0,0.24,0.4,0.7,0.36,0.08,0.28,0.37,0.22,0.2
aime.csv,0.27,0.31,0.35,0.3,1.0,0.28,0.24,0.56,0.3,0.03
badtrinitycore.csv,0.19,0.0,0.13,0.91,0.29,0.28,0.08,0.29,0.09,0.3
electric-core.csv,0.85,0.66,0.91,0.62,0.64,0.52,0.48,0.49,0.74,0.63
geochat.csv,0.77,0.76,0.47,0.06,0.57,0.6,0.6,0.39,0.43,0.97
mumble.csv,0.54,0.56,0.36,0.19,0.07,0.08,0.84,0.27,0.3,0.17
olsrd.csv,1.0,0.99,0.82,0.91,0.86,0.6,0.76,0.7,0.43,0.63
silvertree.csv,0.46,0.28,0.37,0.11,0.14,1.0,0.44,0.09,0.17,0.2
skia.csv,0.62,0.5,0.5,0.49,0.5,0.36,0.36,0.3,0.96,0.2
t-2.csv,0.08,0.46,0.39,0.4,0.29,0.08,0.32,0.92,0.22,0.63
