,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,1.0,0.38,0.43,0.28,0.33,0.13,0.36,0.24,0.29,0.24
aime.csv,0.42,0.45,0.37,0.25,1.0,0.39,0.24,0.18,0.34,0.05
badtrinitycore.csv,0.3,0.0,0.21,0.96,0.29,0.41,0.12,0.15,0.12,0.24
electric-core.csv,0.63,0.71,0.96,0.21,0.25,0.43,0.32,0.2,0.52,0.32
geochat.csv,0.67,0.76,0.28,0.04,0.27,0.58,0.47,0.19,0.44,0.98
mumble.csv,0.64,0.69,0.29,0.16,0.1,0.14,0.91,0.2,0.38,0.21
olsrd.csv,0.78,0.99,0.37,0.25,0.38,0.53,0.49,0.24,0.4,0.41
silvertree.csv,0.49,0.41,0.41,0.13,0.17,1.0,0.42,0.06,0.23,0.22
skia.csv,0.65,0.64,0.36,0.28,0.25,0.39,0.4,0.19,0.98,0.19
t-2.csv,0.12,0.53,0.24,0.15,0.12,0.09,0.23,0.96,0.22,0.35
