,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.0,0.05,0.13,0.44,0.16,0.09,0.11,0.24,0.15,0.15
aime.csv,0.0,0.2,0.14,0.14,0.0,0.11,0.28,0.67,0.24,0.11
badtrinitycore.csv,0.08,0.0,0.03,0.0,0.15,0.06,0.11,0.35,0.15,0.38
electric-core.csv,0.92,0.65,0.0,0.57,0.74,0.63,0.57,0.46,0.54,0.7
geochat.csv,0.58,0.85,0.52,0.24,0.54,0.34,0.37,0.39,0.26,0.0
mumble.csv,0.17,0.2,0.3,0.16,0.09,0.06,0.0,0.21,0.15,0.12
olsrd.csv,0.62,0.0,0.7,0.72,0.56,0.49,0.51,0.56,0.37,0.44
silvertree.csv,0.46,0.3,0.12,0.08,0.12,0.0,0.25,0.24,0.17,0.18
skia.csv,0.29,0.25,0.36,0.26,0.51,0.34,0.17,0.25,0.0,0.28
t-2.csv,0.17,0.9,0.52,0.55,0.69,0.51,0.58,0.0,0.37,0.62
