,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.38,0.71,0.78,0.5,0.75,0.8,0.93,0.64,0.75,0.86
aime.csv,0.86,0.88,0.9,0.97,0.93,0.91,0.75,0.66,0.72,0.92
badtrinitycore.csv,0.86,0.0,0.97,0.98,0.64,0.89,0.89,1.0,0.89,0.7
electric-core.csv,0.36,0.52,0.85,0.6,0.58,0.51,0.61,0.65,0.52,0.52
geochat.csv,0.35,0.51,0.53,0.99,0.44,0.52,0.49,0.69,0.59,0.83
mumble.csv,0.44,0.36,0.56,0.9,0.86,0.75,0.62,0.6,0.71,0.94
olsrd.csv,0.29,0.39,0.34,0.35,0.4,0.47,0.37,0.42,0.48,0.42
silvertree.csv,0.48,0.84,0.9,0.97,0.9,0.6,0.67,0.99,0.92,0.92
skia.csv,0.39,0.38,0.53,0.74,0.52,0.52,0.65,0.58,0.64,0.76
t-2.csv,0.83,0.73,0.7,0.64,0.67,0.95,0.72,0.99,0.91,0.57
