,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.37,0.41,0.34,0.67,0.36
intact.csv,0.7,0.75,0.39,0.53,0.59
miranda-icq.csv,0.94,0.68,0.79,0.7,0.51
ofbiz.csv,0.59,0.69,0.72,0.75,0.44
roolo.csv,0.9,0.94,0.8,0.8,0.98
