,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.64,0.68,0.54,0.69,0.85,0.95,0.55,0.91,0.79,0.72,0.44,0.51,0.64,0.56,0.52,0.63,0.99,0.44
archive-crawler.csv,0.45,0.59,0.53,0.7,0.97,0.8,0.49,0.53,0.42,0.52,0.48,0.64,0.5,0.46,0.48,0.89,0.94,0.48
customwars.csv,0.52,0.33,0.44,0.28,0.97,0.5,0.49,0.42,0.47,0.54,0.49,0.41,0.5,0.26,0.5,0.4,0.34,0.44
gbif-providertoolkit.csv,0.66,0.69,0.5,0.53,0.61,0.58,0.66,0.48,0.57,0.49,0.4,0.45,0.76,0.68,0.56,0.68,0.97,0.47
gss.csv,0.38,0.32,0.35,0.29,0.44,0.32,0.39,0.36,0.35,0.39,0.32,0.35,0.46,0.29,0.38,0.41,0.32,0.4
heekscad.csv,0.36,0.38,0.38,0.38,0.45,0.38,0.42,0.35,0.54,0.42,0.37,0.37,0.39,0.38,0.41,0.42,0.33,0.62
ikvm.csv,0.72,0.55,0.54,0.45,0.55,0.45,0.62,0.69,0.61,0.65,0.6,0.46,0.7,0.61,0.77,0.47,0.8,0.39
jaxen.csv,0.52,0.41,0.52,0.36,0.56,0.39,0.55,0.5,0.85,0.51,0.36,0.4,0.68,0.31,0.53,0.49,0.65,0.36
jcae.csv,0.63,0.93,0.62,0.65,0.75,0.79,0.73,0.67,0.68,0.47,0.51,0.45,0.5,0.53,0.88,0.5,0.94,0.46
levent.csv,0.48,0.67,0.5,0.73,0.0,0.44,0.46,0.43,0.44,0.45,0.33,0.47,0.51,0.31,0.45,0.82,0.5,0.36
nicepress.csv,0.47,0.37,0.55,0.75,0.52,0.43,0.51,0.46,0.57,0.53,0.38,0.44,0.61,0.34,0.47,0.43,0.51,0.63
pnotepad.csv,0.42,0.37,0.36,0.3,0.54,0.33,0.47,0.43,0.37,0.46,0.33,0.39,0.53,0.29,0.42,0.42,0.34,0.43
qcad2.csv,0.68,0.52,0.48,0.48,0.75,0.79,0.51,0.66,0.7,0.88,0.46,0.43,0.53,0.33,0.46,0.7,0.6,0.35
qedo.csv,0.95,0.87,0.58,0.5,0.78,0.6,0.98,0.95,0.89,0.85,0.67,0.88,0.94,0.89,0.95,0.66,0.73,0.79
quarkplusplus.csv,0.5,0.55,0.48,0.31,0.53,0.58,0.51,0.63,0.52,0.49,0.47,0.41,0.48,0.37,0.49,0.43,0.36,0.56
sigil.csv,0.41,0.48,0.73,0.7,0.69,0.71,0.42,0.8,0.54,0.56,0.38,0.53,0.52,0.44,0.46,0.5,0.46,0.43
xcsoar.csv,0.37,0.37,0.45,0.36,0.64,0.38,0.46,0.48,0.42,0.47,0.34,0.34,0.5,0.33,0.47,0.5,0.42,0.52
xuggle.csv,0.41,0.35,0.54,0.3,0.61,0.4,0.56,0.46,0.5,0.42,0.47,0.39,0.55,0.3,0.44,0.47,0.36,0.45
