,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.49,0.39,0.55,0.56,0.35,0.21,0.67,0.2,0.6,0.33,0.76,0.7,0.79,0.81,0.79,0.5,0.09,0.63
archive-crawler.csv,0.51,0.43,0.36,0.44,0.24,0.43,0.58,0.35,0.6,0.42,0.59,0.48,0.33,0.52,0.48,0.19,0.05,0.53
customwars.csv,0.35,0.73,0.45,1.0,0.3,0.57,0.42,0.43,1.0,0.36,0.41,0.48,0.29,0.62,0.31,0.31,0.45,0.5
gbif-providertoolkit.csv,0.57,0.39,0.55,0.78,0.72,0.79,0.52,0.67,0.8,0.86,0.71,0.61,0.33,0.62,0.75,0.5,0.18,0.5
gss.csv,0.73,0.91,0.91,1.0,0.76,0.93,0.77,0.59,0.8,0.64,0.88,0.61,0.29,0.86,0.58,0.67,0.86,0.73
heekscad.csv,0.71,0.66,0.5,0.89,0.87,0.71,0.73,0.57,0.8,0.67,0.65,0.65,0.58,0.57,0.62,0.77,0.23,0.4
ikvm.csv,0.45,0.59,0.91,0.44,0.63,0.64,0.54,0.55,0.8,0.53,0.35,0.74,0.62,0.29,0.29,0.75,0.64,0.77
jaxen.csv,0.81,0.91,0.68,1.0,0.63,1.0,0.71,0.92,1.0,0.75,0.94,0.74,0.58,0.95,0.75,0.75,0.68,0.83
jcae.csv,0.3,0.23,0.32,0.78,0.37,0.5,0.25,0.06,0.6,0.56,0.59,0.7,0.08,0.38,0.15,0.29,0.05,0.53
levent.csv,0.82,0.04,0.09,0.67,0.0,0.86,0.88,0.73,1.0,0.94,1.0,0.7,0.96,1.0,0.98,0.23,0.0,0.87
nicepress.csv,0.79,0.73,0.32,0.33,0.61,0.64,0.62,0.96,0.8,0.75,0.53,0.65,0.83,0.76,0.88,0.44,0.18,0.37
pnotepad.csv,0.58,0.88,0.82,1.0,0.74,0.86,0.83,0.65,1.0,0.78,1.0,0.7,0.75,0.76,0.81,0.9,0.55,0.63
qcad2.csv,0.35,0.5,0.64,0.78,0.54,0.14,0.79,0.57,0.4,0.22,0.76,0.87,1.0,0.9,0.98,0.38,0.18,0.9
qedo.csv,0.1,0.23,0.41,0.33,0.3,0.36,0.08,0.12,0.0,0.17,0.0,0.09,0.17,0.05,0.08,0.5,0.82,0.37
quarkplusplus.csv,0.51,0.41,0.59,1.0,0.8,0.5,0.77,0.65,0.8,0.69,0.59,0.65,0.62,0.57,0.77,0.81,0.32,0.47
sigil.csv,0.62,0.54,0.27,0.67,0.57,0.5,0.81,0.16,1.0,0.39,0.76,0.65,0.71,0.81,0.83,0.62,0.18,0.7
xcsoar.csv,0.66,0.71,0.45,0.89,0.41,0.71,0.9,0.39,0.8,0.61,0.82,0.87,0.5,0.62,0.73,0.33,0.23,0.5
xuggle.csv,0.73,0.93,0.64,0.89,0.74,0.71,0.44,0.43,0.8,0.69,0.41,0.78,0.58,0.67,0.56,0.58,0.86,0.57
