,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.22,0.09,0.0,0.77,0.09,0.12,0.6,0.14,0.12,0.26
arsenal-1.csv,0.77,0.35,0.7,0.09,0.11,0.4,0.27,0.72,0.19,0.2
barracudamvc.csv,0.78,0.96,0.96,0.91,0.91,1.0,0.93,0.62,0.98,0.97
irplus.csv,0.63,0.83,0.37,0.73,0.36,0.6,0.87,0.41,0.67,0.43
lite.csv,0.74,0.26,0.89,0.14,0.25,0.32,0.73,0.93,0.31,0.34
mevenide.csv,0.64,0.35,0.41,0.09,0.13,0.0,0.07,0.79,0.05,0.26
ontopia.csv,0.12,0.7,0.26,0.64,0.8,0.32,0.8,0.03,0.95,0.77
openintents.csv,0.54,0.7,0.78,1.0,0.33,0.72,0.67,0.52,0.67,0.57
ta3d.csv,0.38,0.43,0.93,0.14,0.32,0.24,0.33,0.31,0.07,0.69
tweetsharp.csv,0.35,0.48,0.89,0.82,0.47,0.48,0.8,0.24,0.79,0.54
