,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.8,0.93,1.0,0.42,0.93,0.88,0.5,0.86,0.88,0.75
arsenal-1.csv,0.98,0.79,0.46,0.92,0.94,0.62,0.75,0.61,0.81,0.8
barracudamvc.csv,0.33,0.88,0.97,1.0,0.79,0.98,0.93,0.88,0.93,1.0
irplus.csv,0.75,0.72,0.69,0.5,0.77,0.5,0.62,0.66,0.75,0.65
lite.csv,0.89,0.94,0.75,0.87,0.86,0.71,0.4,0.69,0.72,0.67
mevenide.csv,0.88,0.79,0.67,0.91,0.94,1.0,0.93,0.28,0.96,0.75
ontopia.csv,0.89,0.73,0.77,0.8,0.35,0.84,0.83,0.97,0.73,0.9
openintents.csv,0.64,0.45,0.71,0.55,0.84,0.51,0.61,0.7,0.93,0.86
ta3d.csv,0.9,0.66,0.97,0.87,0.81,0.77,0.73,0.72,0.94,0.54
tweetsharp.csv,0.71,0.64,0.81,0.83,0.55,0.74,0.95,0.88,0.45,0.72
