,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.33,1.0,0.18,0.86,0.75,0.82,0.45,0.36,0.71,0.0,0.77
ivatamasks.csv,0.29,1.0,0.15,0.83,0.6,0.79,0.3,0.24,0.67,0.71,0.71
java-gnome.csv,0.78,1.0,0.06,0.69,0.71,1.0,0.5,0.19,0.96,0.5,0.68
orc.csv,0.25,1.0,0.34,0.74,0.5,0.84,0.34,0.22,0.53,0.0,0.84
plato.csv,0.28,0.99,0.08,0.72,0.68,0.95,0.37,0.21,0.81,0.56,0.73
rodin-b-sharp.csv,1.0,0.97,0.37,0.62,0.79,0.86,0.78,0.14,0.88,0.0,0.87
tycho.csv,0.12,0.97,0.19,0.62,0.75,0.9,0.2,0.33,0.82,0.81,0.69
umber.csv,0.68,0.98,0.1,0.76,0.63,0.84,0.37,0.15,0.79,0.47,0.81
unicase.csv,0.52,1.0,0.14,0.66,0.62,0.87,0.42,0.24,0.82,0.48,0.83
vienna-add-in.csv,0.33,0.98,0.1,0.66,0.8,0.83,0.29,0.17,0.71,0.62,0.64
wpdev.csv,0.26,1.0,0.1,0.68,0.66,0.84,0.36,0.15,0.77,0.56,0.73
