,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.61,0.23,0.34,0.75
jajuk.csv,0.82,0.23,0.3,0.73
vapor.csv,0.51,0.14,0.4,0.73
zorannt.csv,0.67,0.34,0.29,0.69
