,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.7,0.93,0.74,0.06,0.21,0.75,0.79,0.0,1.0,0.85,1.0,1.0,0.99
fido.csv,0.11,0.58,0.0,0.0,0.01,1.0,0.53,0.06,0.0,0.2,0.0,0.24,0.91
fleet-simulator.csv,0.85,0.82,0.86,0.97,0.43,1.0,0.75,0.95,1.0,0.96,0.6,0.59,0.93
fluent-nhibernate.csv,0.15,0.25,0.66,0.56,0.23,0.5,0.51,0.61,0.0,0.02,0.2,0.94,0.53
galaxium.csv,0.59,0.25,0.77,0.59,0.53,0.25,0.46,0.62,0.67,0.65,0.4,0.65,0.71
itext.csv,0.72,0.87,0.74,0.74,0.96,0.5,0.98,0.8,1.0,0.72,1.0,0.88,0.8
mecat.csv,0.24,0.05,0.0,0.06,0.41,0.0,0.05,0.08,1.0,0.0,0.0,0.24,0.0
mediaportal.csv,0.52,0.11,0.37,0.15,0.73,0.0,0.19,0.56,0.67,0.41,0.2,0.65,0.38
ninject.csv,0.7,0.56,0.74,0.68,0.76,0.5,0.77,0.68,0.0,0.39,1.0,0.65,0.47
smartgwt.csv,0.37,0.36,0.4,0.06,0.76,1.0,0.68,0.23,0.0,0.04,1.0,0.82,0.44
sqlpower-library.csv,0.72,0.58,0.97,0.97,0.38,1.0,0.79,0.99,1.0,0.74,0.6,0.76,0.4
stuproa-cims.csv,0.39,0.62,0.06,0.15,0.51,0.0,0.02,0.28,0.0,0.0,0.6,0.53,0.77
uface.csv,0.59,0.65,0.86,0.85,0.99,1.0,0.86,0.96,1.0,0.39,1.0,0.94,0.94
