,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.74,0.27,0.38,1.0,0.83,0.05,0.9,0.0,0.05,0.85,0.08,0.11,0.66
fido.csv,0.71,0.21,0.0,0.0,1.0,0.24,0.75,0.19,0.0,1.0,0.0,0.33,0.74
fleet-simulator.csv,0.81,0.27,0.38,0.57,0.68,0.04,0.77,0.2,0.05,1.0,0.07,0.15,0.77
fluent-nhibernate.csv,0.88,0.28,0.48,0.73,0.91,0.07,0.83,0.27,0.0,0.5,0.17,0.36,0.83
galaxium.csv,0.93,0.35,0.71,0.83,0.68,0.04,0.84,0.25,0.06,1.0,0.11,0.23,0.77
itext.csv,0.75,0.32,0.3,0.81,0.36,0.04,0.81,0.22,0.06,0.91,0.1,0.12,0.69
mecat.csv,0.92,0.5,0.0,1.0,0.8,0.0,1.0,0.4,0.33,0.0,0.0,0.29,0.0
mediaportal.csv,0.89,0.86,0.59,0.83,0.41,0.0,0.92,0.33,0.12,1.0,0.33,0.26,0.98
ninject.csv,0.71,0.28,0.29,0.77,0.4,0.06,0.83,0.24,0.0,0.72,0.38,0.09,0.77
smartgwt.csv,0.77,0.19,0.25,0.33,0.49,0.05,0.78,0.21,0.0,0.22,0.09,0.1,0.92
sqlpower-library.csv,0.87,0.3,0.3,0.53,0.14,0.08,0.75,0.19,0.07,0.83,0.12,0.13,0.7
stuproa-cims.csv,0.75,0.51,0.67,0.83,0.88,0.0,1.0,0.28,0.0,0.0,0.08,0.26,0.75
uface.csv,0.82,0.28,0.34,0.62,0.32,0.05,0.78,0.21,0.07,1.0,0.1,0.1,0.97
