,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.72,0.93,0.55,0.94,0.79,0.61,0.35,1.0,0.88,1.01,1.0,0.78,1.0
fido.csv,0.9,0.89,1.0,1.0,0.99,0.13,0.73,0.94,1.03,0.8,1.0,0.77,0.65
fleet-simulator.csv,0.55,0.82,0.57,0.83,0.57,0.92,0.76,0.86,0.93,0.04,0.8,0.53,0.56
fluent-nhibernate.csv,0.85,0.78,0.45,0.5,0.77,0.57,0.59,0.55,1.03,0.99,0.81,0.18,0.52
galaxium.csv,0.43,0.77,0.26,0.43,0.48,0.78,0.61,0.58,0.61,0.35,0.67,0.41,0.51
itext.csv,0.71,0.7,0.74,0.33,0.52,0.67,0.72,0.68,0.75,0.57,0.82,0.66,0.73
mecat.csv,0.76,0.95,1.0,0.94,0.59,1.0,0.95,0.92,0.1,1.0,1.02,0.77,1.0
mediaportal.csv,0.51,0.89,0.64,0.85,0.42,1.0,0.81,0.51,0.42,0.59,0.8,0.4,0.62
ninject.csv,0.82,0.69,0.77,0.4,0.42,0.58,0.55,0.59,1.05,1.17,0.15,0.78,0.6
smartgwt.csv,0.7,0.85,0.76,0.95,0.34,0.7,0.69,0.79,1.01,1.3,0.95,0.81,0.56
sqlpower-library.csv,0.41,0.65,0.9,0.97,0.95,0.44,0.86,0.99,0.67,1.03,0.55,0.56,0.69
stuproa-cims.csv,0.7,0.44,0.94,0.85,0.49,1.0,0.98,0.74,1.01,1.0,0.72,0.49,0.55
uface.csv,0.54,0.7,0.68,0.62,0.64,0.82,0.79,0.84,0.67,0.61,0.78,0.85,0.08
