,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.72,0.42,0.5,0.11,0.33,0.09,0.84,0.0,0.1,0.85,0.15,0.21,0.8
fido.csv,0.19,0.31,0.0,0.0,0.02,0.38,0.62,0.09,0.0,0.34,0.0,0.28,0.81
fleet-simulator.csv,0.83,0.41,0.53,0.72,0.53,0.08,0.76,0.34,0.1,0.98,0.13,0.24,0.84
fluent-nhibernate.csv,0.26,0.27,0.55,0.63,0.37,0.12,0.63,0.37,0.0,0.04,0.18,0.52,0.64
galaxium.csv,0.72,0.29,0.74,0.69,0.59,0.07,0.59,0.36,0.11,0.79,0.17,0.34,0.74
itext.csv,0.73,0.47,0.43,0.77,0.52,0.08,0.89,0.35,0.12,0.8,0.18,0.21,0.74
mecat.csv,0.38,0.1,0.0,0.11,0.54,0.0,0.1,0.14,0.5,0.0,0.0,0.26,0.0
mediaportal.csv,0.66,0.19,0.46,0.25,0.53,0.0,0.32,0.42,0.2,0.58,0.25,0.37,0.55
ninject.csv,0.7,0.37,0.42,0.72,0.53,0.11,0.8,0.35,0.0,0.51,0.56,0.15,0.59
smartgwt.csv,0.5,0.25,0.31,0.1,0.59,0.1,0.73,0.22,0.0,0.06,0.16,0.17,0.6
sqlpower-library.csv,0.79,0.4,0.46,0.69,0.21,0.15,0.77,0.32,0.13,0.78,0.21,0.23,0.51
stuproa-cims.csv,0.51,0.56,0.11,0.25,0.64,0.0,0.03,0.28,0.0,0.0,0.15,0.35,0.76
uface.csv,0.68,0.39,0.49,0.72,0.49,0.09,0.82,0.34,0.13,0.56,0.19,0.18,0.96
