,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,0.77,0.82,0.76,0.7,0.74,0.03,0.73,0.83,0.8,0.87,1.01,0.76,0.56,0.75,0.64,0.6,0.61,0.74
boost-sandbox.csv,0.52,0.53,0.87,0.62,0.67,1.0,0.66,0.53,0.82,0.0,0.76,0.94,0.91,1.0,0.5,0.68,0.57,0.58
clamav.csv,0.46,0.89,0.74,0.74,0.59,0.85,0.37,0.73,0.72,0.85,0.84,0.8,0.1,0.8,0.97,0.7,0.64,0.65
co-ode-owl-plugins.csv,0.79,0.89,0.86,0.82,0.89,1.0,0.68,0.0,0.77,0.96,0.94,1.0,1.0,1.0,0.86,0.56,0.83,0.98
etherboot.csv,0.93,0.77,0.83,0.86,0.68,0.73,0.57,0.89,0.14,0.74,0.72,0.59,0.85,0.65,0.81,0.61,0.86,0.81
freebios.csv,0.7,0.77,0.76,0.79,0.77,0.77,0.56,0.64,0.6,0.76,0.74,0.02,0.77,0.56,0.5,0.96,0.43,0.69
frogatto.csv,0.92,0.66,0.67,0.63,0.65,0.68,0.59,0.82,0.76,0.83,0.93,0.89,0.52,0.66,0.31,0.03,0.6,0.61
glelite.csv,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.01
jasperreports.csv,1.0,0.95,0.83,1.0,0.97,1.0,0.83,0.95,0.95,1.0,0.87,1.0,1.0,1.0,0.08,0.97,1.0,0.99
konversation.csv,1.01,0.95,0.83,0.96,0.77,0.9,0.17,1.0,0.86,0.96,1.0,0.98,1.0,1.0,0.88,0.92,0.93,0.92
miranda-icq.csv,0.7,0.73,0.87,0.81,0.73,0.78,0.64,0.95,0.74,0.79,0.81,0.66,0.8,0.1,0.37,0.96,0.72,0.83
olap-navigator.csv,0.44,0.05,0.56,0.61,0.66,0.52,0.52,0.65,0.73,0.6,0.85,0.79,0.73,0.7,0.41,0.58,0.81,0.77
pclasses.csv,0.09,0.63,0.84,0.82,0.75,1.0,0.92,0.76,0.91,0.95,0.68,0.96,0.95,0.96,0.72,0.81,0.93,0.92
plato.csv,0.66,0.91,0.94,0.79,0.69,1.0,0.71,0.88,0.87,0.77,0.0,0.93,0.85,0.88,1.02,0.78,0.81,0.48
re2c.csv,0.77,0.77,0.17,0.8,0.7,1.01,0.38,0.81,0.64,0.66,0.84,0.45,0.71,0.72,0.92,0.76,0.26,0.73
rebecca-aiml.csv,0.75,0.87,0.88,0.88,0.71,0.9,0.51,0.96,0.74,0.83,0.72,0.48,0.76,0.78,0.79,0.71,0.04,0.83
tzod.csv,0.74,0.76,0.88,0.0,0.59,0.97,0.6,0.81,0.81,0.8,0.66,0.89,0.68,0.82,0.88,0.52,0.59,0.57
wxcrp.csv,1.0,0.75,1.04,0.61,0.06,0.86,0.46,0.85,0.88,0.92,0.9,0.98,0.9,0.87,0.74,0.67,0.7,0.87
