,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,0.64,0.93,0.83,0.89,0.87,1.0,0.92,0.94,0.86,0.72,0.88,0.47,0.9,0.79,1.0,0.83,0.69,0.68
boost-sandbox.csv,0.73,0.59,0.5,0.85,0.61,0.0,0.92,0.72,0.68,1.0,0.43,0.06,0.1,0.0,0.62,0.64,0.54,0.42
clamav.csv,0.64,0.11,0.33,0.33,0.55,0.15,0.75,0.28,0.32,0.15,0.17,0.24,0.9,0.23,0.04,0.39,0.39,0.35
co-ode-owl-plugins.csv,0.27,0.15,0.17,0.19,0.13,0.0,0.33,1.0,0.27,0.04,0.07,0.0,0.0,0.0,0.35,0.5,0.19,0.28
etherboot.csv,0.09,0.51,0.17,0.22,0.42,0.56,0.67,0.28,0.86,0.55,0.48,0.53,0.55,0.69,0.27,0.42,0.17,0.27
freebios.csv,0.45,0.62,0.33,0.52,0.42,0.24,0.58,0.44,0.64,0.49,0.45,0.98,0.35,0.6,0.62,0.42,0.63,0.39
frogatto.csv,0.09,0.43,0.5,0.48,0.61,0.32,1.0,0.22,0.32,0.19,0.31,0.12,0.65,0.71,0.92,0.97,0.46,0.39
glelite.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.99
jasperreports.csv,0.0,0.05,0.17,0.0,0.03,0.0,0.17,0.06,0.05,0.0,0.29,0.0,0.0,0.0,0.92,0.03,0.0,0.01
konversation.csv,0.0,0.05,0.17,0.04,0.23,0.1,0.83,0.0,0.14,0.04,0.0,0.02,0.0,0.0,0.12,0.08,0.07,0.08
miranda-icq.csv,0.36,0.3,0.17,0.22,0.32,0.22,0.42,0.06,0.32,0.26,0.29,0.37,0.2,0.9,0.85,0.11,0.41,0.17
olap-navigator.csv,0.64,0.95,0.83,0.56,0.58,0.49,0.83,0.44,0.86,0.65,0.43,0.33,0.3,0.63,1.0,0.53,0.39,0.62
pclasses.csv,0.91,0.38,0.17,0.19,0.26,0.0,0.08,0.33,0.09,0.06,0.43,0.04,0.05,0.04,0.46,0.19,0.07,0.08
plato.csv,0.64,0.43,0.83,0.3,0.68,0.0,0.75,0.61,0.64,0.66,1.0,0.08,0.15,0.13,0.42,0.42,0.2,0.65
re2c.csv,0.36,0.62,0.83,0.37,0.68,0.27,0.67,0.33,0.5,0.5,0.62,0.63,0.55,0.48,0.23,0.69,0.8,0.27
rebecca-aiml.csv,0.27,0.16,0.17,0.15,0.39,0.24,0.5,0.11,0.27,0.2,0.48,0.55,0.35,0.37,0.31,0.33,0.96,0.24
tzod.csv,0.27,0.44,0.17,1.0,0.55,0.98,0.67,0.5,0.23,0.23,0.45,0.65,0.6,0.87,0.81,0.56,0.46,0.43
wxcrp.csv,0.0,0.74,0.0,0.52,0.94,0.34,0.58,0.61,0.14,0.08,0.81,0.02,0.1,0.13,0.96,0.33,0.3,0.13
