,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.65,0.58,0.5,0.69,0.97,0.02,0.13,0.54,0.59,0.18
fritzing.csv,0.84,0.58,0.71,0.59,0.96,0.01,0.67,0.42,0.53,0.31
jlinalg.csv,0.95,0.54,0.45,0.45,0.94,0.01,0.12,0.31,0.58,0.22
knowledge.csv,0.95,0.41,0.56,0.43,1.0,0.01,0.13,0.3,0.6,0.23
massiv.csv,1.0,0.71,0.67,0.0,0.0,0.2,0.0,0.52,0.0,0.33
oscarmcmaster.csv,0.9,0.61,0.75,0.56,0.98,0.01,0.4,0.46,0.53,0.33
playerstage.csv,0.87,0.41,0.58,0.67,0.96,0.01,0.2,0.4,0.48,0.3
quarkplusplus.csv,0.91,0.45,0.53,0.44,1.0,0.01,0.08,0.32,0.52,0.24
rtrt-on-gpu.csv,0.89,0.26,0.39,0.3,0.82,0.0,0.39,0.09,0.33,0.17
superwaba.csv,0.89,0.63,0.62,0.65,0.97,0.01,0.16,0.37,0.64,0.23
