,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.49,0.46,0.6,0.53,0.63,0.03,0.16,0.59,0.64,0.23
fritzing.csv,0.79,0.64,0.73,0.6,0.86,0.02,0.31,0.31,0.59,0.37
jlinalg.csv,0.87,0.38,0.55,0.54,0.65,0.02,0.21,0.47,0.67,0.33
knowledge.csv,0.86,0.48,0.64,0.57,0.91,0.02,0.16,0.41,0.61,0.32
massiv.csv,0.25,0.42,0.47,0.0,0.0,0.33,0.0,0.56,0.0,0.24
oscarmcmaster.csv,0.68,0.67,0.74,0.6,0.87,0.02,0.27,0.5,0.47,0.42
playerstage.csv,0.65,0.54,0.69,0.69,0.86,0.02,0.13,0.34,0.44,0.39
quarkplusplus.csv,0.86,0.56,0.59,0.43,0.76,0.02,0.09,0.47,0.53,0.3
rtrt-on-gpu.csv,0.49,0.36,0.26,0.35,0.51,0.0,0.5,0.06,0.37,0.26
superwaba.csv,0.49,0.65,0.66,0.58,0.75,0.02,0.21,0.54,0.47,0.31
