,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.79,0.15,0.68,0.13,0.2,0.22,0.27,0.24,0.38,0.38
fritzing.csv,0.5,0.28,0.3,0.29,0.4,0.46,0.02,0.15,0.44,0.28
jlinalg.csv,0.14,0.14,0.81,0.55,0.4,0.63,0.88,0.91,0.44,0.65
knowledge.csv,0.14,0.48,0.56,0.78,0.0,0.57,0.27,0.65,0.31,0.48
massiv.csv,0.0,0.07,0.17,0.0,0.0,0.03,0.0,0.24,0.0,0.1
oscarmcmaster.csv,0.21,0.26,0.22,0.36,0.2,0.59,0.06,0.28,0.28,0.32
playerstage.csv,0.29,0.62,0.57,0.25,0.4,0.29,0.08,0.2,0.34,0.34
quarkplusplus.csv,0.29,0.5,0.57,0.39,0.0,0.31,0.23,0.85,0.38,0.37
rtrt-on-gpu.csv,0.14,0.82,0.29,0.67,1.0,0.44,0.23,0.22,0.62,0.61
superwaba.csv,0.14,0.22,0.4,0.19,0.2,0.49,0.33,0.74,0.16,0.46
