,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.77,0.91,0.46,0.69,0.47,0.77,0.87,0.54,0.55,0.81
fritzing.csv,0.45,0.52,0.47,0.53,0.38,0.43,0.67,0.75,0.47,0.62
jlinalg.csv,0.45,0.96,0.51,0.48,0.61,0.52,0.42,0.43,0.61,0.48
knowledge.csv,0.41,0.49,0.46,0.39,0.42,0.51,0.53,0.44,0.48,0.5
massiv.csv,0.86,0.95,0.62,0.0,0.0,0.95,0.0,0.57,0.0,0.96
oscarmcmaster.csv,0.37,0.49,0.46,0.49,0.38,0.44,0.8,0.54,0.42,0.52
playerstage.csv,0.57,0.53,0.45,0.51,0.38,0.6,0.8,0.73,0.48,0.6
quarkplusplus.csv,0.44,0.54,0.47,0.58,0.47,0.75,0.92,0.4,0.56,0.66
rtrt-on-gpu.csv,0.89,0.53,0.97,0.55,0.79,0.64,0.72,0.91,0.83,0.51
superwaba.csv,0.42,0.44,0.41,0.5,0.31,0.41,0.47,0.35,0.43,0.4
