,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.4,0.38,0.74,0.43,0.47,0.5,0.2,0.65,0.71,0.32
fritzing.csv,0.74,0.72,0.76,0.6,0.77,0.75,0.2,0.25,0.67,0.47
jlinalg.csv,0.8,0.3,0.71,0.66,0.5,1.0,0.6,0.95,0.79,0.68
knowledge.csv,0.78,0.6,0.75,0.84,0.84,0.75,0.2,0.65,0.62,0.53
massiv.csv,0.14,0.3,0.36,0.0,0.0,1.0,0.0,0.6,0.0,0.19
oscarmcmaster.csv,0.54,0.74,0.72,0.66,0.79,1.0,0.2,0.55,0.42,0.6
playerstage.csv,0.52,0.8,0.85,0.72,0.77,0.5,0.1,0.3,0.42,0.55
quarkplusplus.csv,0.82,0.74,0.68,0.43,0.61,0.5,0.1,0.9,0.54,0.43
rtrt-on-gpu.csv,0.34,0.54,0.19,0.41,0.37,0.0,0.7,0.05,0.42,0.49
superwaba.csv,0.34,0.68,0.71,0.52,0.61,0.75,0.3,1.0,0.38,0.51
