,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.08,0.04,0.03,0.02,0.02,0.13,0.03,0.14,0.11,0.02,0.05,0.04
aubit4gl.csv,0.38,0.43,0.37,0.59,0.02,0.39,0.42,0.38,0.8,0.29,0.38,0.48
liferea.csv,0.37,0.31,0.35,0.0,0.5,0.29,0.23,0.16,0.1,0.3,0.29,0.25
moving-pictures.csv,0.29,0.39,0.4,0.11,0.19,0.22,0.0,0.14,0.2,0.53,0.39,0.61
olex2.csv,0.33,0.31,0.37,0.25,0.35,0.55,0.35,0.14,0.15,0.35,0.24,0.01
opensim4opencog.csv,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.17,0.17,0.11,0.04
plearn.csv,0.01,0.29,0.21,0.34,0.58,0.28,0.45,0.49,0.36,0.46,0.37,0.08
psrchive.csv,0.07,0.02,0.0,0.0,0.15,0.18,0.13,0.04,0.1,0.24,0.11,0.06
re2c.csv,0.23,0.0,0.37,0.25,0.31,0.06,0.19,0.65,0.23,0.46,0.5,0.2
rebecca-aiml.csv,0.19,0.82,0.51,0.52,0.69,0.4,0.42,0.49,0.0,0.36,0.39,0.39
wxcode.csv,0.04,0.02,0.03,0.0,0.21,0.01,0.03,0.01,0.06,0.05,0.0,0.03
xfce.csv,0.5,0.59,0.6,0.5,0.52,0.41,0.42,0.0,0.3,0.36,0.45,0.63
