,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.89,0.75,0.67,0.67,0.83,0.96,0.5,0.95,0.92,0.93,0.89,0.93
aubit4gl.csv,0.74,0.69,0.69,0.42,0.53,0.8,0.64,0.62,0.52,0.77,0.69,0.6
liferea.csv,0.44,0.42,0.42,0.83,0.37,0.47,0.43,0.4,0.73,0.44,0.46,0.44
moving-pictures.csv,0.55,0.61,0.47,0.8,0.92,0.74,0.52,0.61,0.88,0.54,0.62,0.41
olex2.csv,0.55,0.47,0.46,0.86,0.5,0.59,0.57,0.97,0.64,0.6,0.62,0.53
opensim4opencog.csv,0.83,0.0,0.0,0.0,0.0,0.94,0.67,0.7,0.96,0.9,0.89,0.83
plearn.csv,0.72,0.65,0.86,0.78,0.43,0.98,0.67,0.92,0.79,0.74,0.76,0.93
psrchive.csv,0.95,0.5,0.9,0.0,0.75,0.77,0.86,0.94,0.96,0.8,0.91,0.88
re2c.csv,0.64,0.83,0.54,0.83,0.58,0.92,0.92,0.63,0.76,0.74,0.66,0.63
rebecca-aiml.csv,0.7,0.47,0.6,0.46,0.37,0.69,0.57,0.56,0.67,0.54,0.63,0.53
wxcode.csv,0.93,0.0,0.67,0.0,0.6,0.67,0.75,0.89,0.93,0.91,0.86,0.88
xfce.csv,0.45,0.35,0.44,0.34,0.37,0.46,0.43,0.47,0.54,0.47,0.5,0.39
