,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.48,0.98,0.75,1.03,0.81,0.88,0.82,0.8,0.67,0.75,0.69,1.01,0.78
apolloplayer.csv,0.76,0.37,0.68,0.62,0.8,0.67,0.62,0.87,0.9,0.66,0.67,0.59,0.45
auber.csv,0.76,0.98,0.89,1.0,1.0,1.01,0.88,0.88,0.8,1.0,0.87,0.99,0.34
irrlicht.csv,0.99,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.6,0.79,1.0
k3d.csv,0.74,0.88,0.83,1.0,0.69,0.88,0.25,0.69,0.8,0.97,0.8,0.72,0.68
nug.csv,0.72,0.8,0.38,1.0,0.73,0.94,0.42,0.62,0.83,0.92,0.78,1.0,0.93
owlapi.csv,0.5,0.81,0.74,0.15,0.58,0.73,0.9,0.84,0.67,0.32,0.73,1.11,0.9
ppcboot.csv,0.99,0.92,0.97,1.0,0.97,0.88,0.82,0.66,0.51,1.0,0.94,1.0,0.87
red5.csv,0.83,0.59,0.81,0.18,0.54,0.68,0.94,0.47,0.87,0.59,0.82,0.83,0.86
redshell.csv,0.8,0.74,0.79,1.28,0.78,0.45,0.8,0.82,0.79,0.92,0.6,0.73,0.59
utgb.csv,0.67,0.61,0.96,1.0,0.41,0.86,0.91,0.75,0.88,0.96,0.7,0.61,0.81
xreal.csv,0.93,0.94,0.97,1.0,0.73,0.78,0.79,0.79,0.87,1.0,0.84,0.02,0.99
