,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.6,0.94,0.5,0.99,0.9,0.97,0.88,0.92,0.99,0.56,0.75,0.97,0.83
apolloplayer.csv,0.48,0.51,0.38,0.39,0.37,0.51,0.41,0.32,0.55,0.45,0.44,0.51,0.55
auber.csv,0.6,0.45,0.46,0.34,0.37,0.46,0.37,0.39,0.57,0.48,0.48,0.36,0.47
irrlicht.csv,0.4,0.44,0.38,0.34,0.38,0.45,0.35,0.32,0.57,0.47,0.5,0.41,0.39
k3d.csv,0.47,0.83,0.86,0.92,0.37,0.95,0.7,0.52,0.59,0.51,0.88,0.62,0.78
nug.csv,0.54,0.92,0.58,0.75,0.68,0.92,0.78,0.51,0.77,0.8,0.87,0.67,0.58
owlapi.csv,0.52,0.74,0.74,0.99,0.65,0.63,0.44,0.88,0.82,0.58,0.68,0.62,0.65
ppcboot.csv,0.4,0.44,0.38,0.34,0.38,0.47,0.41,0.45,0.85,0.47,0.46,0.36,0.41
red5.csv,0.41,0.43,0.41,0.99,0.38,0.56,0.35,0.4,0.61,0.5,0.46,0.4,0.43
redshell.csv,0.89,0.97,0.65,0.4,0.46,0.58,0.43,0.5,0.7,0.59,0.68,0.75,0.76
utgb.csv,0.81,0.52,0.86,0.98,0.5,0.62,0.95,0.92,0.57,0.89,0.51,0.95,0.94
xreal.csv,0.97,0.85,0.89,0.98,0.52,0.98,0.59,0.54,0.62,0.98,0.91,0.88,0.8
