,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.24,0.06,0.29,0.0,0.7,0.94,0.15,0.69,0.6,0.2,0.83,0.0,0.57
apolloplayer.csv,0.12,0.49,0.34,0.0,0.54,0.96,0.19,0.57,0.54,0.2,0.79,0.05,0.74
auber.csv,0.12,0.23,0.21,0.0,0.52,0.95,0.14,0.56,0.55,0.15,0.76,0.03,0.78
irrlicht.csv,0.14,0.23,0.32,0.0,0.53,0.96,0.15,0.6,0.53,0.16,0.82,0.02,0.55
k3d.csv,0.13,0.5,0.43,0.0,0.54,1.0,0.44,0.61,0.53,0.13,0.79,0.03,0.72
nug.csv,0.13,0.42,0.54,0.0,0.58,1.0,0.35,0.66,0.43,0.4,0.81,0.0,0.43
owlapi.csv,0.21,0.19,0.32,0.01,0.88,0.96,0.09,0.88,0.57,0.38,0.76,0.0,0.4
ppcboot.csv,0.13,0.25,0.33,0.0,0.54,0.96,0.15,0.64,0.69,0.16,0.78,0.03,0.58
red5.csv,0.14,0.31,0.37,0.01,0.64,0.96,0.15,0.74,0.53,0.23,0.78,0.03,0.54
redshell.csv,0.11,0.24,0.27,0.0,0.52,0.98,0.15,0.55,0.55,0.12,0.83,0.03,0.69
utgb.csv,0.27,0.4,0.14,0.0,0.77,0.93,0.14,0.85,0.43,0.11,0.84,0.09,0.76
xreal.csv,0.08,0.1,0.11,0.0,0.52,0.98,0.12,0.54,0.4,0.04,0.72,0.62,0.2
