,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.7,0.46,0.45,0.38,0.55,1.0,0.3,0.06,0.5,1.0,0.71,0.18
emite.csv,0.77,0.19,0.6,0.5,0.79,0.54,0.52,0.76,0.3,0.75,0.97,0.5
geogebra.csv,0.11,0.27,0.25,0.33,0.28,0.03,0.33,0.15,0.69,0.5,0.06,0.92
hibernate.csv,0.3,0.42,0.6,0.85,0.5,0.21,0.49,0.64,0.93,0.25,0.35,0.52
httpcontentparser.csv,0.53,0.5,0.9,0.42,0.54,0.11,0.25,0.24,0.3,0.25,0.13,0.33
megameknet.csv,0.53,0.69,0.4,0.65,0.5,0.67,0.91,0.7,0.55,0.75,0.23,0.74
myfaces.csv,0.24,0.15,0.15,0.9,0.18,0.49,0.19,0.33,0.73,0.0,0.32,0.36
ns-3.csv,0.99,0.65,0.65,0.75,0.7,0.94,0.61,0.45,0.52,0.5,0.16,0.64
ondex.csv,0.2,1.0,0.45,0.46,0.31,0.51,0.32,0.91,0.49,0.0,0.29,0.3
pixel-commandos.csv,0.01,0.0,0.15,0.02,0.06,0.01,0.04,0.03,0.06,1.0,0.0,0.01
rsyslog.csv,0.39,0.96,0.55,0.83,0.76,0.73,0.72,0.45,0.6,0.75,0.61,0.74
wow-qrsk.csv,0.31,0.35,0.35,0.4,0.91,0.27,0.64,0.18,0.27,0.75,0.23,0.45
