,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.68,0.44,0.12,0.15,0.26,1.0,0.22,0.08,0.34,0.1,0.54,0.16
emite.csv,0.71,0.22,0.18,0.23,0.37,0.6,0.24,0.34,0.29,0.07,0.98,0.32
geogebra.csv,0.19,0.42,0.27,0.33,0.36,0.06,0.46,0.17,0.39,0.4,0.11,0.96
hibernate.csv,0.41,0.4,0.15,0.28,0.37,0.32,0.37,0.27,0.96,0.11,0.35,0.34
httpcontentparser.csv,0.58,0.53,0.95,0.23,0.25,0.19,0.31,0.19,0.33,0.04,0.19,0.23
megameknet.csv,0.6,0.64,0.22,0.38,0.22,0.72,0.95,0.35,0.43,0.17,0.31,0.41
myfaces.csv,0.36,0.22,0.15,0.93,0.25,0.62,0.27,0.31,0.41,0.0,0.38,0.41
ns-3.csv,1.0,0.61,0.25,0.25,0.34,0.82,0.35,0.24,0.41,0.07,0.21,0.35
ondex.csv,0.31,0.7,0.3,0.25,0.35,0.62,0.43,0.95,0.36,0.0,0.35,0.34
pixel-commandos.csv,0.01,0.0,0.18,0.04,0.11,0.02,0.07,0.06,0.1,1.0,0.0,0.02
rsyslog.csv,0.5,0.98,0.18,0.32,0.4,0.73,0.48,0.28,0.45,0.12,0.58,0.45
wow-qrsk.csv,0.43,0.41,0.22,0.28,0.95,0.4,0.32,0.19,0.35,0.3,0.26,0.49
