,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.52,0.75,0.65,0.7,0.65,0.36,0.81,0.93,0.7,0.48,0.49,0.81
emite.csv,0.46,0.95,0.47,0.59,0.56,0.43,0.58,0.49,0.64,0.46,0.57,0.53
geogebra.csv,0.95,0.57,0.94,0.9,0.99,0.8,0.94,0.96,0.58,0.83,0.75,0.79
hibernate.csv,0.81,0.76,0.59,0.52,0.65,0.81,0.73,0.44,0.74,0.93,0.69,0.64
httpcontentparser.csv,0.66,0.78,0.94,0.77,0.64,0.94,0.97,0.85,0.9,0.77,0.92,0.74
megameknet.csv,0.63,0.53,0.72,0.56,0.53,0.4,0.71,0.46,0.59,0.62,0.93,0.53
myfaces.csv,0.83,0.91,0.95,0.98,0.99,0.45,0.96,0.87,0.54,0.94,0.71,0.8
ns-3.csv,0.5,0.6,0.51,0.51,0.47,0.3,0.6,0.45,0.53,0.58,0.82,0.54
ondex.csv,0.97,0.52,0.72,0.68,0.92,0.56,0.91,0.97,0.72,0.75,0.95,0.86
pixel-commandos.csv,0.67,0.0,0.93,0.83,0.92,0.0,0.93,0.67,0.92,0.75,0.0,0.0
rsyslog.csv,0.54,0.56,0.43,0.44,0.41,0.35,0.44,0.57,0.46,0.43,0.49,0.44
wow-qrsk.csv,0.72,0.72,0.7,0.63,0.87,0.81,0.65,0.97,0.89,0.81,0.95,0.77
