,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,0.0,0.16,0.29,0.5,0.4,0.11,0.29,0.24,0.6,0.0,0.2,0.29,0.0,0.96,0.36,0.5,0.52,0.4,0.43,0.18
blogentis.csv,0.53,0.55,0.47,0.53,0.0,0.31,0.97,0.28,0.0,0.92,0.64,0.25,0.0,0.37,0.52,0.64,0.36,0.67,0.21,0.41
free-evolution.csv,0.54,0.17,0.29,0.52,0.24,0.21,0.63,0.26,0.12,0.0,0.57,0.65,0.45,0.33,0.37,0.67,0.05,0.61,0.43,0.9
gtad.csv,1.0,0.18,0.0,0.07,0.05,0.41,0.25,0.0,0.0,0.99,0.24,0.53,0.0,0.23,0.13,0.4,0.24,0.32,0.28,0.0
htmlunit.csv,0.89,0.51,0.27,0.6,0.36,0.64,0.54,0.24,0.12,0.62,0.96,0.58,0.0,0.22,0.26,0.58,0.43,0.39,0.28,0.18
ipfire-wall.csv,0.53,0.42,0.48,0.41,0.33,0.0,0.47,0.26,0.23,0.0,0.45,0.33,0.54,0.43,1.0,0.79,0.52,0.57,0.28,0.18
irplus.csv,0.9,0.39,0.29,0.54,0.38,0.39,0.37,0.48,0.23,0.93,0.63,0.44,0.0,0.37,0.46,0.69,0.93,0.46,0.48,0.24
jasperreports.csv,0.55,0.06,0.29,0.0,0.0,0.36,0.48,0.1,0.0,0.49,0.28,0.05,0.0,0.33,0.07,0.93,0.52,0.23,0.04,0.15
jaxlib.csv,0.0,0.06,0.0,0.15,0.0,0.11,0.0,0.05,0.0,0.0,0.02,0.05,1.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0
jvcl.csv,0.0,0.0,0.0,0.84,0.02,0.0,0.1,0.0,0.12,0.0,0.02,0.14,0.0,0.06,0.0,0.0,0.1,0.0,0.04,0.0
kaffeine.csv,0.22,0.54,0.0,0.13,0.97,0.69,0.54,0.28,0.41,0.21,0.61,0.77,0.0,0.48,0.0,0.85,0.58,0.43,0.81,0.2
m-m-m.csv,0.45,0.41,0.0,0.0,0.0,0.53,0.13,1.0,0.56,0.74,0.45,0.05,0.0,0.46,0.67,0.89,0.56,0.05,0.48,0.4
myfaces.csv,0.24,0.0,0.0,0.29,0.0,0.05,0.39,0.56,0.0,0.0,0.42,0.84,0.54,0.49,0.13,0.29,0.2,0.29,0.38,0.09
nh3d.csv,0.0,0.0,1.0,0.0,0.15,0.41,0.25,0.07,0.98,0.0,0.17,0.35,0.0,0.22,0.33,0.43,0.24,0.18,0.42,0.15
poormans.csv,0.0,0.52,0.29,0.43,0.23,0.21,0.34,0.25,0.23,0.99,0.52,0.4,0.52,0.17,0.26,0.65,0.24,0.32,0.9,0.34
sarasvati.csv,0.94,0.25,0.0,0.65,0.12,1.0,0.0,0.14,0.12,0.0,0.34,0.4,0.0,0.28,0.26,0.51,0.32,0.37,0.46,0.28
smartgwt.csv,0.49,0.0,0.29,0.35,0.53,0.4,0.5,0.28,0.65,0.0,0.7,0.54,0.8,0.41,0.49,0.84,0.42,0.96,0.66,0.46
taokgame.csv,0.55,0.0,0.0,0.22,0.07,0.11,0.14,0.0,1.0,0.0,0.04,0.35,0.0,0.17,0.37,0.23,0.19,0.04,0.37,0.21
wgs-assembler.csv,0.0,0.97,0.54,0.52,0.24,0.21,0.33,0.21,0.12,0.86,0.32,0.31,0.0,0.33,0.53,0.66,0.36,0.61,0.37,0.49
