,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,1.03,0.87,0.75,0.83,0.65,0.93,0.79,0.81,0.57,1.01,0.84,0.78,1.05,0.05,0.77,0.58,0.56,0.66,0.64,0.85
blogentis.csv,0.57,0.64,0.81,0.59,1.07,0.79,0.04,0.82,1.06,0.31,0.58,0.8,1.08,0.75,0.63,0.48,0.76,0.39,0.85,0.86
free-evolution.csv,0.54,0.96,0.77,0.78,0.8,0.83,0.64,0.81,1.01,1.01,0.51,0.58,0.85,0.76,0.69,0.49,0.99,0.45,0.64,0.12
gtad.csv,0.0,0.85,1.0,0.95,0.96,0.64,0.8,1.0,1.01,0.07,0.81,0.52,1.01,0.81,0.89,0.66,0.81,0.73,0.77,1.0
htmlunit.csv,0.37,0.75,0.94,0.75,0.69,0.63,0.56,0.81,0.91,0.75,0.05,0.49,1.02,0.85,0.81,0.5,0.71,0.66,0.77,0.85
ipfire-wall.csv,0.6,0.7,0.78,0.91,0.76,1.0,0.73,0.81,0.88,1.0,0.75,0.73,0.52,0.65,0.0,0.33,0.54,0.58,0.77,0.86
irplus.csv,0.35,0.79,0.82,0.74,0.68,0.76,0.72,0.63,0.85,0.26,0.53,0.66,1.1,0.71,0.69,0.45,0.08,0.85,0.6,0.83
jasperreports.csv,0.5,0.95,0.77,1.0,1.0,0.91,0.82,0.97,1.0,0.84,0.77,0.96,1.0,0.73,0.95,0.08,0.79,0.81,0.97,0.88
jaxlib.csv,1.0,0.95,1.0,0.88,1.0,0.91,1.0,0.96,1.0,1.0,0.98,0.96,0.0,1.0,1.0,1.0,1.0,0.86,1.0,1.0
jvcl.csv,1.0,1.0,1.0,0.19,0.98,1.0,0.93,1.0,0.9,1.0,0.98,0.89,1.0,0.95,1.0,1.01,0.92,1.0,0.97,1.0
kaffeine.csv,1.06,0.78,1.0,0.97,0.09,0.51,0.64,0.85,0.8,0.95,0.59,0.37,1.0,0.73,1.0,0.37,0.56,0.89,0.4,0.96
m-m-m.csv,0.86,0.74,1.0,1.0,1.0,0.8,0.97,0.0,0.7,0.64,0.86,0.99,1.0,0.85,0.56,0.3,0.63,0.99,0.85,0.89
myfaces.csv,0.94,1.0,1.0,0.78,1.0,1.01,0.89,0.76,1.03,1.38,0.88,0.19,0.54,0.84,0.97,1.03,0.96,0.86,0.89,0.99
nh3d.csv,1.0,1.0,0.0,1.0,0.88,0.66,0.82,0.94,0.09,1.09,0.86,0.72,1.0,0.83,0.73,0.62,0.81,0.85,0.65,0.88
poormans.csv,1.0,0.62,0.77,0.64,1.06,0.82,0.72,0.84,0.83,0.03,0.54,0.65,0.62,0.86,0.81,0.42,0.82,0.73,0.12,0.73
sarasvati.csv,0.24,0.8,1.01,0.56,0.9,0.0,1.0,0.9,0.91,1.0,0.72,0.66,1.03,0.77,0.78,0.54,0.79,0.68,0.6,0.76
smartgwt.csv,0.75,1.0,0.79,0.92,0.65,0.69,0.6,0.9,0.57,1.07,0.6,0.62,0.56,0.72,0.81,0.45,0.75,0.06,0.46,0.79
taokgame.csv,0.51,1.0,1.0,0.83,0.94,0.91,0.88,1.0,0.01,1.0,0.97,0.71,1.0,0.87,0.74,0.81,0.86,0.97,0.69,0.82
wgs-assembler.csv,1.02,0.03,0.53,0.75,0.82,0.84,0.8,0.85,0.92,0.44,0.75,0.77,1.03,0.76,0.57,0.41,0.72,0.48,0.69,0.68
