,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,0.0,0.13,0.25,0.81,0.35,0.09,0.25,0.2,0.6,0.0,0.17,0.25,0.0,0.95,0.33,0.46,0.48,0.35,0.38,0.15
blogentis.csv,0.5,0.56,0.5,0.5,0.61,0.27,0.96,0.24,0.0,1.0,0.69,0.21,0.0,0.33,0.5,0.62,0.32,0.62,0.18,0.42
free-evolution.csv,0.5,1.0,0.25,0.62,0.2,0.18,0.71,0.22,0.1,0.0,0.53,0.71,0.5,0.29,0.33,0.69,0.04,0.56,0.38,0.88
gtad.csv,1.0,0.15,0.0,0.06,0.04,0.36,0.21,0.0,0.0,1.0,0.2,0.48,0.0,0.19,0.11,0.35,0.2,0.27,0.24,0.0
htmlunit.csv,1.0,0.54,0.25,0.88,0.31,0.73,0.5,0.2,0.1,1.0,0.95,0.54,0.0,0.19,0.22,0.54,0.4,0.34,0.24,0.15
ipfire-wall.csv,0.5,0.38,0.5,0.56,0.29,0.0,0.46,0.22,0.2,0.0,0.43,0.29,0.5,0.38,1.0,0.81,0.48,0.56,0.24,0.15
irplus.csv,1.0,0.36,0.25,0.62,0.33,0.36,0.33,0.45,0.2,1.0,0.63,0.4,0.0,0.33,0.44,0.69,0.92,0.56,0.44,0.21
jasperreports.csv,0.5,0.05,0.25,0.0,0.0,0.82,0.58,0.08,0.0,1.0,0.24,0.04,0.0,0.29,0.06,0.92,0.64,0.19,0.03,0.12
jaxlib.csv,0.0,0.05,0.0,0.12,0.0,0.09,0.0,0.04,0.0,0.0,0.02,0.04,1.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
jvcl.csv,0.0,0.0,0.0,0.81,0.02,0.0,0.08,0.0,0.1,0.0,0.02,0.12,0.0,0.05,0.0,0.0,0.08,0.0,0.03,0.0
kaffeine.csv,0.5,0.67,1.0,0.88,0.98,0.73,0.54,0.25,0.4,1.0,0.63,0.79,1.0,0.48,1.0,0.92,0.56,0.53,0.88,0.91
m-m-m.csv,1.0,0.38,1.0,1.0,0.92,0.91,1.0,1.0,0.6,1.0,0.84,0.96,1.0,0.86,0.72,0.96,0.56,1.0,0.76,0.82
myfaces.csv,1.0,0.97,1.0,0.25,0.94,0.82,0.88,0.71,0.0,0.0,0.83,0.81,0.5,0.81,1.0,0.46,0.88,0.26,0.38,0.91
nh3d.csv,0.0,0.0,1.0,0.0,0.12,0.36,0.21,0.06,1.0,0.0,0.14,0.31,0.0,0.19,0.28,0.38,0.2,0.15,0.38,0.12
poormans.csv,0.0,0.49,0.25,0.38,0.22,0.18,0.29,0.22,0.2,1.0,0.48,0.35,0.5,0.14,0.22,0.62,0.2,0.27,0.88,0.3
sarasvati.csv,1.0,0.21,0.0,0.69,0.1,1.0,0.0,0.12,0.1,0.0,0.3,0.35,0.0,0.24,0.22,0.46,0.28,0.32,0.41,0.24
smartgwt.csv,0.5,1.0,0.25,0.75,0.53,0.36,0.46,0.25,0.7,0.0,0.83,0.52,1.0,0.38,0.56,0.96,0.4,0.95,0.65,0.48
taokgame.csv,0.5,0.0,0.0,0.19,0.06,0.09,0.12,0.0,1.0,0.0,0.03,0.31,0.0,0.14,0.33,0.19,0.16,0.03,0.32,0.18
wgs-assembler.csv,0.0,0.97,0.5,0.56,0.2,0.18,0.29,0.18,0.1,1.0,0.28,0.27,0.0,0.29,0.5,0.62,0.32,0.58,0.32,0.48
