,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.77,1.0,0.02,0.25,0.73,0.85,0.56,0.14,0.05,0.74
libtorrent.csv,0.71,0.49,0.05,0.35,0.76,0.98,0.59,0.18,0.19,0.84
mcmc-jags.csv,0.81,0.29,0.09,1.0,0.85,0.9,0.72,0.33,0.09,0.88
nebuladevice.csv,0.83,0.5,0.09,0.4,0.75,0.92,1.0,0.25,1.0,0.86
olap-navigator.csv,1.0,0.44,0.06,0.73,0.74,0.93,0.58,0.15,0.13,0.88
pidgin.csv,0.83,0.52,0.06,0.3,1.0,0.89,0.64,0.14,0.26,0.9
salasaga.csv,0.67,0.47,0.04,0.24,0.67,0.82,0.48,1.0,0.17,0.82
sepgsql.csv,0.78,0.25,1.0,1.0,0.69,0.0,1.0,0.0,0.0,1.0
xstore.csv,0.74,0.36,0.1,0.43,0.83,0.95,0.98,0.15,0.23,0.92
xtreemfs.csv,0.73,0.45,0.06,0.47,0.8,0.91,0.69,0.21,0.21,1.0
