,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.52,0.98,0.04,0.22,0.43,0.66,0.39,0.24,0.06,0.32
libtorrent.csv,0.74,0.62,0.1,0.48,0.82,0.99,0.7,0.3,0.32,0.91
mcmc-jags.csv,0.66,0.34,0.14,0.97,0.59,0.61,0.7,0.42,0.13,0.83
nebuladevice.csv,0.27,0.35,0.16,0.2,0.6,0.39,0.33,0.29,1.0,0.17
olap-navigator.csv,0.99,0.52,0.1,0.62,0.73,0.55,0.6,0.25,0.16,0.87
pidgin.csv,0.6,0.6,0.11,0.37,0.99,0.76,0.69,0.24,0.39,0.88
salasaga.csv,0.76,0.63,0.08,0.38,0.66,0.81,0.6,0.9,0.28,0.81
sepgsql.csv,0.35,0.08,0.96,0.24,0.12,0.0,0.04,0.0,0.0,0.12
xstore.csv,0.65,0.38,0.17,0.41,0.73,0.58,0.98,0.26,0.29,0.91
xtreemfs.csv,0.65,0.59,0.11,0.47,0.61,0.68,0.68,0.27,0.33,1.0
