,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.36,0.44,0.71,0.67,0.54,0.49,0.34,0.63,0.44,0.56
jmule.csv,0.42,0.48,0.53,0.38,0.44,0.46,0.62,0.47,0.41,0.43
nosleepsoftware.csv,0.91,0.96,0.59,0.0,0.95,0.93,0.8,0.75,0.99,0.36
open-ms.csv,0.38,0.34,0.53,0.75,0.91,0.6,0.55,0.51,0.45,0.31
qgo.csv,0.45,0.32,0.33,0.57,0.4,0.36,0.3,0.38,0.36,0.3
rezilla.csv,0.54,0.41,0.46,0.69,0.7,0.59,0.41,0.46,0.45,0.47
riff-evolve.csv,0.41,0.57,0.69,0.83,0.51,0.54,0.35,0.6,0.55,0.0
uwom.csv,0.4,0.94,0.55,0.67,0.7,0.63,0.8,0.51,0.6,0.67
virtuoso.csv,0.36,0.39,0.42,0.39,0.45,0.47,0.57,0.4,0.42,0.31
yield.csv,0.38,0.35,0.37,0.88,0.48,0.42,0.33,0.4,0.41,0.33
