,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,v8.csv
bochs.csv,0.51,0.59,0.65,0.62,0.96,0.68,0.56
encog-java.csv,0.83,0.1,0.53,0.05,0.38,0.57,0.3
h2database.csv,0.61,0.97,0.07,0.12,0.13,0.18,0.25
haphazard.csv,0.13,0.11,0.33,0.09,0.43,0.88,0.39
jaql.csv,0.7,0.69,0.35,0.98,0.54,0.41,0.42
raven-monitoring.csv,0.55,0.41,1.0,0.27,0.43,0.42,0.38
v8.csv,0.57,0.55,0.55,0.64,0.05,0.66,1.0
