,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.5,0.52,0.73,0.13,0.38,0.65,0.32,0.43,0.64,0.47,0.02,0.51,0.05,0.44,0.54,0.47
arsenal-1.csv,0.15,0.2,0.1,0.64,0.0,0.0,0.06,0.05,0.01,0.15,0.0,0.04,0.18,0.27,0.18,0.0
bnetd.csv,0.0,0.29,0.56,0.73,0.61,0.0,0.71,0.34,0.33,0.0,0.4,0.55,0.65,0.05,0.47,0.31
cascading.csv,0.5,0.54,0.0,0.35,0.79,0.52,0.49,0.38,0.72,0.36,0.06,0.48,0.38,0.32,0.5,0.59
fm-classic.csv,0.15,0.09,0.16,0.23,0.0,0.99,0.16,0.35,0.2,0.15,0.04,0.07,0.44,0.07,0.12,0.44
free-evolution.csv,0.52,0.65,0.63,0.62,0.09,0.0,0.59,0.22,0.57,0.79,0.0,0.64,0.0,0.36,0.51,0.62
gnome-jabber.csv,0.5,0.6,0.59,0.35,0.45,0.17,0.63,0.35,0.63,0.49,0.63,0.58,0.67,0.4,0.38,0.36
guineu.csv,0.61,0.38,0.21,0.36,0.31,0.0,0.42,0.3,0.45,0.42,0.0,0.48,0.35,0.17,0.31,0.56
ipfilter.csv,0.43,0.6,0.54,0.56,0.19,0.17,0.33,0.56,0.55,0.0,0.0,0.5,0.92,0.39,0.2,0.41
jruby.csv,0.35,0.69,0.18,0.37,0.0,0.35,0.12,0.22,0.48,0.26,0.0,0.31,0.0,0.64,0.62,0.4
l2j.csv,0.65,0.38,0.66,0.26,0.71,0.83,0.61,0.29,0.34,0.43,0.05,0.58,0.26,0.74,0.29,0.53
libmesh.csv,0.22,0.4,0.29,0.0,0.0,0.38,0.39,0.67,0.36,0.0,0.0,0.36,0.0,0.12,0.02,0.2
mvdsv.csv,0.0,0.0,0.34,0.0,0.99,0.0,0.12,0.05,0.11,0.05,0.05,0.0,0.09,0.01,0.06,0.0
stajistics.csv,0.55,0.51,0.44,0.67,0.0,0.35,0.45,0.4,0.52,0.81,0.0,0.45,0.0,0.53,0.52,0.69
twostep.csv,0.32,0.57,0.64,0.13,0.57,0.69,0.41,0.5,0.71,0.78,0.25,0.54,0.46,0.54,0.0,0.65
x4x.csv,0.49,0.68,0.0,0.34,0.73,0.48,0.71,0.26,0.31,0.09,0.53,0.32,0.36,0.4,0.46,0.64
