,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.66,0.98,0.28,0.15,0.47,0.54,0.16,0.44,0.07,0.65,0.59,0.33,0.65
bibletime.csv,0.75,0.69,0.51,0.69,0.57,0.67,0.67,0.56,0.67,0.54,0.39,0.48,1.0
boost.csv,0.75,0.6,0.53,0.48,0.44,0.6,0.56,0.94,0.47,0.58,0.56,0.25,0.48
codepurge.csv,0.43,0.46,0.1,0.37,0.18,0.53,0.18,0.23,0.32,0.51,0.56,0.93,0.27
etics.csv,1.0,0.38,0.42,0.41,0.12,0.34,0.57,0.25,0.26,0.74,0.58,0.25,0.47
gusanos.csv,0.62,0.6,0.57,0.67,0.73,0.47,0.65,0.48,0.99,0.63,0.67,0.58,0.43
kvs.csv,0.66,0.41,0.14,0.62,1.0,0.55,0.49,0.4,0.42,0.59,0.5,0.1,0.37
mcore3d.csv,0.65,0.55,0.98,0.57,0.37,0.41,0.49,0.64,0.5,0.53,0.56,0.65,0.57
modellus.csv,0.65,0.27,0.35,0.49,0.34,0.23,0.99,0.54,0.35,0.29,0.48,0.53,0.44
monetdb.csv,0.36,0.56,0.41,0.45,0.12,0.97,0.67,0.38,0.49,0.52,0.52,0.36,0.24
projecteqemu.csv,0.36,0.33,0.4,0.48,0.18,0.49,0.39,0.18,0.34,0.95,0.35,0.2,0.56
pydev.csv,0.58,0.45,0.47,0.42,0.66,0.42,0.32,0.43,0.38,0.57,0.97,0.37,0.49
xbplayer.csv,0.1,0.21,0.11,0.94,0.12,0.23,0.34,0.33,0.26,0.41,0.32,0.34,0.14
