,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.57,0.0,0.25,0.07,0.42,0.4,0.13,0.32,0.14,0.53,0.39,0.24,0.36
bibletime.csv,0.57,0.52,0.74,0.58,0.67,0.69,0.55,0.67,0.38,0.8,0.87,0.72,0.0
boost.csv,0.33,0.46,0.51,0.69,0.24,0.24,0.24,0.01,0.31,0.71,0.29,0.26,0.71
codepurge.csv,0.12,0.16,0.09,0.24,0.14,0.23,0.03,0.08,0.1,0.22,0.25,0.01,0.21
etics.csv,0.0,0.1,0.26,0.18,0.2,0.16,0.48,0.09,0.07,0.38,0.3,0.15,0.14
gusanos.csv,0.55,0.62,0.51,0.68,0.62,0.6,0.67,0.62,0.0,0.64,0.54,0.7,0.86
kvs.csv,0.14,0.39,0.14,0.45,0.0,0.19,0.29,0.32,0.38,0.36,0.3,0.1,0.21
mcore3d.csv,0.48,0.41,0.02,0.42,0.51,0.55,0.47,0.57,0.38,0.47,0.62,0.58,0.5
modellus.csv,0.21,0.1,0.21,0.25,0.16,0.11,0.02,0.68,0.1,0.18,0.23,0.31,0.14
monetdb.csv,0.12,0.24,0.51,0.53,0.11,0.0,0.55,0.31,0.52,0.38,0.38,0.47,0.14
projecteqemu.csv,0.1,0.15,0.11,0.18,0.03,0.28,0.09,0.06,0.21,0.0,0.23,0.09,0.21
pydev.csv,0.17,0.32,0.35,0.32,0.62,0.21,0.17,0.23,0.24,0.56,0.03,0.18,0.43
xbplayer.csv,0.02,0.07,0.11,0.0,0.03,0.02,0.05,0.12,0.07,0.07,0.12,0.1,0.14
