,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.62,0.03,0.8,0.88,0.69,0.62,0.88,0.68,0.95,0.6,0.57,0.75,0.5
bibletime.csv,0.58,0.57,0.8,0.61,0.74,0.69,0.6,0.74,0.49,0.8,0.9,0.84,0.0
boost.csv,0.41,0.6,0.69,0.83,0.65,0.49,0.54,0.07,0.65,0.75,0.55,0.83,0.83
codepurge.csv,0.63,0.62,0.92,0.71,0.86,0.56,0.85,0.82,0.72,0.57,0.53,0.08,0.8
etics.csv,0.0,0.68,0.67,0.67,0.92,0.72,0.63,0.8,0.78,0.44,0.54,0.81,0.59
gusanos.csv,0.63,0.69,0.65,0.69,0.62,0.78,0.69,0.78,0.01,0.68,0.59,0.74,0.86
kvs.csv,0.41,0.73,0.89,0.57,0.0,0.53,0.62,0.71,0.72,0.55,0.61,0.92,0.7
mcore3d.csv,0.57,0.62,0.02,0.6,0.83,0.81,0.7,0.63,0.65,0.66,0.72,0.63,0.65
modellus.csv,0.44,0.78,0.72,0.6,0.72,0.82,0.03,0.76,0.71,0.77,0.6,0.59,0.62
monetdb.csv,0.7,0.54,0.8,0.76,0.91,0.04,0.6,0.73,0.72,0.63,0.63,0.82,0.82
projecteqemu.csv,0.7,0.72,0.66,0.6,0.85,0.62,0.67,0.85,0.73,0.06,0.73,0.84,0.53
pydev.csv,0.49,0.67,0.66,0.7,0.65,0.65,0.74,0.65,0.7,0.68,0.04,0.69,0.68
xbplayer.csv,0.92,0.83,0.92,0.07,0.9,0.81,0.71,0.72,0.78,0.64,0.73,0.72,0.89
