,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.77,0.97,0.24,0.12,0.45,0.53,0.13,0.4,0.06,0.72,0.58,0.29,0.65
bibletime.csv,0.92,0.78,0.68,0.83,0.7,0.94,0.76,0.68,0.69,0.94,0.78,0.58,1.0
boost.csv,0.77,0.62,0.54,0.55,0.4,0.57,0.52,0.93,0.43,0.78,0.53,0.21,0.58
codepurge.csv,0.38,0.41,0.08,0.33,0.15,0.49,0.15,0.19,0.28,0.47,0.53,0.92,0.23
etics.csv,1.0,0.33,0.38,0.36,0.1,0.3,0.59,0.21,0.22,0.78,0.56,0.21,0.42
gusanos.csv,0.69,0.7,0.6,0.93,0.95,0.49,0.85,0.52,0.99,0.78,0.75,0.75,0.89
kvs.csv,0.62,0.38,0.12,0.64,1.0,0.51,0.45,0.36,0.39,0.58,0.47,0.08,0.33
mcore3d.csv,0.69,0.54,0.98,0.57,0.35,0.4,0.48,0.73,0.48,0.53,0.64,0.75,0.59
modellus.csv,0.62,0.23,0.31,0.45,0.3,0.19,0.99,0.66,0.3,0.25,0.44,0.5,0.39
monetdb.csv,0.31,0.52,0.39,0.45,0.1,0.96,0.76,0.34,0.49,0.5,0.5,0.33,0.2
projecteqemu.csv,0.31,0.29,0.35,0.43,0.15,0.45,0.34,0.15,0.3,0.94,0.31,0.17,0.52
pydev.csv,0.54,0.41,0.44,0.38,0.8,0.38,0.28,0.39,0.34,0.61,0.97,0.33,0.47
xbplayer.csv,0.08,0.18,0.09,0.93,0.1,0.19,0.29,0.29,0.22,0.36,0.28,0.29,0.12
