,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.76,0.29,1.0,0.35,0.67,1.0,0.42,0.3,0.27,0.69,0.52
aztec.csv,0.1,1.0,0.33,0.3,0.0,0.28,0.0,0.05,0.15,0.19,0.0
bl-toolkit.csv,1.0,0.0,0.33,0.4,0.36,0.54,0.31,0.3,0.08,0.16,0.43
clamav.csv,0.18,0.42,1.0,1.0,0.53,0.55,0.01,0.46,0.54,0.18,0.33
fm-classic.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kml.csv,0.32,0.54,1.0,0.2,0.94,0.66,0.86,0.57,0.5,0.76,0.83
lufa-lib.csv,0.2,0.42,0.0,0.4,0.78,0.45,1.0,0.22,0.38,0.52,0.35
mplayer-ce.csv,0.6,0.62,0.33,0.3,0.5,0.52,0.46,0.54,0.62,0.39,0.96
qmmp.csv,0.38,0.54,0.67,0.5,0.61,0.55,0.41,0.95,0.58,0.83,0.66
xapian.csv,0.16,0.17,0.33,0.35,0.14,0.21,0.18,0.29,0.88,0.21,0.2
xtreemfs.csv,0.88,0.79,1.0,0.4,0.67,0.85,0.22,0.76,0.77,1.0,0.42
