,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.64,0.71,0.6,0.68,0.39,0.0,0.72,0.8,0.77,0.34,0.7
aztec.csv,0.9,0.0,0.75,0.8,1.0,0.72,1.0,0.95,0.85,0.83,1.0
bl-toolkit.csv,0.0,1.0,0.76,0.7,0.84,0.54,0.79,0.71,0.93,0.87,0.76
clamav.csv,0.83,0.71,0.28,0.03,0.51,0.53,0.99,0.6,0.59,0.91,0.73
fm-classic.csv,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kml.csv,0.72,0.48,0.76,0.8,0.06,0.44,0.69,0.48,0.53,0.53,0.83
lufa-lib.csv,0.83,0.61,1.04,0.63,0.47,0.75,0.01,0.78,0.64,0.56,0.76
mplayer-ce.csv,0.75,0.6,0.91,0.78,0.7,0.61,0.62,0.91,0.62,0.83,0.04
qmmp.csv,0.74,0.56,0.53,0.75,0.57,0.73,0.76,0.06,0.61,0.65,0.77
xapian.csv,0.84,0.83,0.7,0.74,0.87,0.8,0.86,0.72,0.12,0.83,0.81
xtreemfs.csv,0.69,0.59,0.62,0.67,0.41,0.69,0.81,0.5,0.55,0.02,0.69
