,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
crux-framework.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
exl.csv,0.83,0.72,0.64,0.79,0.68,0.45,0.73,0.81,0.71,0.82,0.64,0.91,0.93,0.85,0.81,0.68,0.0,0.77
ildjit.csv,0.99,0.92,0.98,0.96,1.0,0.94,1.0,0.0,0.98,1.0,0.97,0.94,0.97,1.01,0.94,0.98,1.0,1.0
konversation.csv,0.86,0.0,0.75,0.68,0.91,1.0,1.0,0.9,0.91,0.8,0.75,0.78,0.8,1.0,0.81,0.84,0.85,1.0
ltp.csv,0.01,1.0,0.89,0.94,0.91,1.0,1.0,1.0,0.91,0.97,0.94,0.83,0.83,1.0,0.93,0.98,0.98,1.0
mcmc-jags.csv,0.7,0.45,0.52,0.5,0.64,0.0,0.27,0.78,0.51,0.68,0.45,0.96,0.48,0.52,0.73,0.39,0.77,0.83
micomt.csv,0.94,0.37,0.55,0.74,0.6,0.8,0.13,1.0,0.72,0.95,0.61,0.75,0.58,0.0,0.88,0.66,0.45,0.86
migen.csv,0.73,0.53,0.89,0.8,0.03,0.94,1.04,0.55,0.82,0.82,0.73,0.83,0.87,0.71,0.81,0.9,0.91,0.75
moviesandbox.csv,0.59,0.38,0.07,0.6,0.54,0.69,1.03,0.98,0.73,0.88,0.37,0.91,0.53,0.41,1.0,0.72,0.66,1.09
nebuladevice.csv,0.98,0.68,0.91,0.64,0.86,0.93,0.0,0.87,0.91,0.83,0.97,0.63,0.83,0.85,0.0,0.91,0.93,0.68
opengs.csv,0.83,1.0,0.59,0.73,0.64,0.93,1.0,0.85,0.02,0.95,0.9,0.51,0.95,0.92,0.94,0.93,0.7,0.73
openxava.csv,0.9,0.51,0.68,0.89,0.6,0.74,0.25,1.0,0.6,0.95,0.92,0.0,0.7,0.95,0.68,0.86,0.71,1.01
passwordsafe.csv,0.74,0.51,0.64,0.61,0.62,0.7,0.37,0.78,0.5,0.66,0.47,0.74,0.69,0.67,0.77,0.07,0.54,0.6
phonon-vlc-mplayer.csv,0.8,0.39,0.5,0.82,0.65,0.6,0.08,0.95,0.68,0.82,0.09,0.69,0.51,0.48,0.88,0.67,0.53,0.7
sepgsql.csv,1.0,1.0,1.0,0.07,1.0,0.93,1.0,1.0,1.0,1.0,0.86,0.94,1.0,1.0,1.0,1.0,0.98,1.0
tcl.csv,0.95,1.0,0.91,0.61,0.86,1.01,1.0,0.88,0.8,0.1,0.94,0.88,0.92,0.94,0.81,0.9,0.91,0.45
unflobtactical.csv,0.89,0.43,0.61,0.76,0.59,0.67,0.35,0.83,0.67,0.95,0.64,0.47,0.06,0.85,0.9,0.57,0.86,0.61
