,pci_20
moast.csv,0.0
chrysalis.csv,0.0
cortex-vfx.csv,0.92
l2j.csv,0.88
geogebra.csv,0.97
ffigo.csv,0.92
autowikibrowser.csv,0.92
duplicati.csv,0.75
gstreamer.csv,0.79
quantlib.csv,0.5
skia.csv,0.85
jruby.csv,0.88
chaosrts.csv,0.92
mplayer-ce.csv,0.65
biopax.csv,0.67
linux-ntfs.csv,0.7
growl-for-windows.csv,0.75
synecdoche.csv,0.91
rcp-company-uibindings.csv,0.8
tweetsharp.csv,0.67
elateportal.csv,0.5
sandiaportals.csv,0.67
biodwh.csv,0.0
trinitycore.csv,0.96
zemljanka.csv,0.7
tango-cs.csv,0.68
buddata-ebxml-registry.csv,0.0
javaprofiler.csv,0.89
fluent-nhibernate.csv,0.93
olex2.csv,0.88
nunit.csv,0.86
tencompetence.csv,0.88
exl.csv,0.0
nativeclient.csv,0.0
codesmith.csv,0.0
stajistics.csv,0.5
oorexx.csv,0.56
crux-framework.csv,0.86
ta3d.csv,0.55
web-cat.csv,0.5
ftm.csv,0.0
factor.csv,0.5
hydrate.csv,0.5
jfreechart.csv,0.67
elvishrayrenderer.csv,0.57
xamj.csv,0.92
uwom.csv,0.97
rocrail.csv,0.88
columba.csv,0.9
metacosm.csv,0.0
quickfast.csv,0.83
geochat.csv,0.0
natpad.csv,0.92
libarchive.csv,0.68
jcache.csv,0.91
zxing.csv,0.85
arm-webradio.csv,0.95
genoviz.csv,0.75
fulguro.csv,0.67
wikipediardware.csv,0.5
rockbox.csv,0.5
ng4j.csv,0.0
uface.csv,0.0
gisgraphy.csv,0.8
emono.csv,0.5
thedata.csv,0.75
miranda.csv,0.8
cme.csv,0.44
jmule.csv,0.0
