,recall
moast.csv,0.0
chrysalis.csv,0.0
cortex-vfx.csv,0.08
l2j.csv,0.03
geogebra.csv,0.19
ffigo.csv,0.16
autowikibrowser.csv,0.2
duplicati.csv,0.07
gstreamer.csv,0.24
quantlib.csv,0.0
skia.csv,0.3
jruby.csv,0.06
chaosrts.csv,0.09
mplayer-ce.csv,0.31
biopax.csv,0.04
linux-ntfs.csv,0.31
growl-for-windows.csv,0.08
synecdoche.csv,0.21
rcp-company-uibindings.csv,0.02
tweetsharp.csv,0.05
elateportal.csv,0.05
sandiaportals.csv,0.06
biodwh.csv,0.08
trinitycore.csv,0.18
zemljanka.csv,0.16
tango-cs.csv,0.27
buddata-ebxml-registry.csv,0.0
javaprofiler.csv,0.11
fluent-nhibernate.csv,0.24
olex2.csv,0.12
nunit.csv,0.1
tencompetence.csv,0.04
exl.csv,0.02
nativeclient.csv,0.0
codesmith.csv,0.0
stajistics.csv,0.07
oorexx.csv,0.25
crux-framework.csv,0.33
ta3d.csv,0.23
web-cat.csv,0.21
ftm.csv,0.02
factor.csv,0.02
hydrate.csv,0.06
jfreechart.csv,0.0
elvishrayrenderer.csv,0.32
xamj.csv,0.13
uwom.csv,0.19
rocrail.csv,0.23
columba.csv,0.05
metacosm.csv,0.04
quickfast.csv,0.11
geochat.csv,0.03
natpad.csv,0.23
libarchive.csv,0.39
jcache.csv,0.32
zxing.csv,0.23
arm-webradio.csv,0.0
genoviz.csv,0.4
fulguro.csv,0.09
wikipediardware.csv,0.05
rockbox.csv,0.11
ng4j.csv,0.05
uface.csv,0.0
gisgraphy.csv,0.18
emono.csv,0.01
thedata.csv,0.25
miranda.csv,0.23
cme.csv,0.8
jmule.csv,0.0
