,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv
fceugc.csv,0.66,0.6,0.6,0.52,0.67,0.83,0.5
flexpay.csv,0.44,0.75,0.65,0.75,0.5,0.58,0.62
modellus.csv,0.52,0.61,0.47,0.85,0.83,0.42,0.39
open-data-kit.csv,0.5,0.38,0.44,0.46,0.66,0.4,0.48
phet.csv,0.85,0.59,0.99,0.67,0.45,0.68,0.54
qtractor.csv,0.42,0.48,0.48,0.52,0.58,0.4,0.44
sumatrapdf.csv,0.39,0.47,0.4,0.39,0.62,0.43,0.42
