,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.44,0.65,0.72,0.67
jajuk.csv,0.77,0.87,0.72,0.86
vapor.csv,0.02,0.35,0.56,0.71
zorannt.csv,0.54,0.65,0.48,0.56
