,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.47,0.64,0.69,0.63
jajuk.csv,0.78,0.72,0.64,0.68
vapor.csv,0.02,0.4,0.59,0.64
zorannt.csv,0.58,0.67,0.51,0.58
