,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,v8.csv
bochs.csv,0.86,0.61,0.46,0.35,0.37,0.77
encog-java.csv,0.26,0.06,0.02,0.05,0.15,0.0
h2database.csv,0.24,0.23,0.06,0.25,0.03,0.08
jaql.csv,0.48,0.24,0.21,0.24,0.21,0.0
raven-monitoring.csv,0.47,0.57,0.23,0.28,0.28,0.46
v8.csv,0.25,0.34,0.85,0.76,0.92,0.15
